ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000038132	Rbm24	GO:0010831	positive regulation of myotube differentiation	positive_regulation_of_myotube_differentiation
ENSMUSG00000055027	Smyd1	GO:0010831	positive regulation of myotube differentiation	positive_regulation_of_myotube_differentiation
ENSMUSG00000028991	Mtor	GO:0010831	positive regulation of myotube differentiation	positive_regulation_of_myotube_differentiation
ENSMUSG00000079434	Neu2	GO:0010831	positive regulation of myotube differentiation	positive_regulation_of_myotube_differentiation
ENSMUSG00000000957	Mmp14	GO:0010831	positive regulation of myotube differentiation	positive_regulation_of_myotube_differentiation
ENSMUSG00000062694	Cav3	GO:0010831	positive regulation of myotube differentiation	positive_regulation_of_myotube_differentiation
ENSMUSG00000053436	Mapk14	GO:0010831	positive regulation of myotube differentiation	positive_regulation_of_myotube_differentiation
ENSMUSG00000014444	Piezo1	GO:0010831	positive regulation of myotube differentiation	positive_regulation_of_myotube_differentiation
ENSMUSG00000031441	Atp11a	GO:0010831	positive regulation of myotube differentiation	positive_regulation_of_myotube_differentiation
ENSMUSG00000030470	Csrp3	GO:0010831	positive regulation of myotube differentiation	positive_regulation_of_myotube_differentiation
ENSMUSG00000026459	Myog	GO:0010831	positive regulation of myotube differentiation	positive_regulation_of_myotube_differentiation
ENSMUSG00000050567	Maml1	GO:0010831	positive regulation of myotube differentiation	positive_regulation_of_myotube_differentiation
ENSMUSG00000042918	Mamstr	GO:0010831	positive regulation of myotube differentiation	positive_regulation_of_myotube_differentiation
