ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000036698	Ago2	GO:0060213	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	positive_regulation_of_nuclear-transcribed_mRNA_poly(A)_tail_shortening
ENSMUSG00000022283	Pabpc1	GO:0060213	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	positive_regulation_of_nuclear-transcribed_mRNA_poly(A)_tail_shortening
ENSMUSG00000047888	Tnrc6b	GO:0060213	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	positive_regulation_of_nuclear-transcribed_mRNA_poly(A)_tail_shortening
ENSMUSG00000036550	Cnot1	GO:0060213	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	positive_regulation_of_nuclear-transcribed_mRNA_poly(A)_tail_shortening
ENSMUSG00000039652	Cpeb3	GO:0060213	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	positive_regulation_of_nuclear-transcribed_mRNA_poly(A)_tail_shortening
ENSMUSG00000071662	Polr2g	GO:0060213	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	positive_regulation_of_nuclear-transcribed_mRNA_poly(A)_tail_shortening
ENSMUSG00000031601	Cnot7	GO:0060213	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	positive_regulation_of_nuclear-transcribed_mRNA_poly(A)_tail_shortening
ENSMUSG00000020454	Eif4enif1	GO:0060213	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	positive_regulation_of_nuclear-transcribed_mRNA_poly(A)_tail_shortening
ENSMUSG00000020423	Btg2	GO:0060213	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	positive_regulation_of_nuclear-transcribed_mRNA_poly(A)_tail_shortening
ENSMUSG00000052707	Tnrc6a	GO:0060213	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	positive_regulation_of_nuclear-transcribed_mRNA_poly(A)_tail_shortening
ENSMUSG00000037573	Tob1	GO:0060213	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	positive_regulation_of_nuclear-transcribed_mRNA_poly(A)_tail_shortening
ENSMUSG00000044786	Zfp36	GO:0060213	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	positive_regulation_of_nuclear-transcribed_mRNA_poly(A)_tail_shortening
