ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021270	Hsp90aa1	GO:0033138	positive regulation of peptidyl-serine phosphorylation	positive_regulation_of_peptidyl-serine_phosphorylation
ENSMUSG00000027835	Pdcd10	GO:0033138	positive regulation of peptidyl-serine phosphorylation	positive_regulation_of_peptidyl-serine_phosphorylation
ENSMUSG00000061175	Fnip2	GO:0033138	positive regulation of peptidyl-serine phosphorylation	positive_regulation_of_peptidyl-serine_phosphorylation
ENSMUSG00000036923	Stox1	GO:0033138	positive regulation of peptidyl-serine phosphorylation	positive_regulation_of_peptidyl-serine_phosphorylation
ENSMUSG00000022114	Spry2	GO:0033138	positive regulation of peptidyl-serine phosphorylation	positive_regulation_of_peptidyl-serine_phosphorylation
ENSMUSG00000041681	Iapp	GO:0033138	positive regulation of peptidyl-serine phosphorylation	positive_regulation_of_peptidyl-serine_phosphorylation
ENSMUSG00000021994	Wnt5a	GO:0033138	positive regulation of peptidyl-serine phosphorylation	positive_regulation_of_peptidyl-serine_phosphorylation
ENSMUSG00000024109	Nrxn1	GO:0033138	positive regulation of peptidyl-serine phosphorylation	positive_regulation_of_peptidyl-serine_phosphorylation
ENSMUSG00000029003	Mad2l2	GO:0033138	positive regulation of peptidyl-serine phosphorylation	positive_regulation_of_peptidyl-serine_phosphorylation
ENSMUSG00000028121	Bcar3	GO:0033138	positive regulation of peptidyl-serine phosphorylation	positive_regulation_of_peptidyl-serine_phosphorylation
ENSMUSG00000055067	Smyd3	GO:0033138	positive regulation of peptidyl-serine phosphorylation	positive_regulation_of_peptidyl-serine_phosphorylation
ENSMUSG00000030525	Chrna7	GO:0033138	positive regulation of peptidyl-serine phosphorylation	positive_regulation_of_peptidyl-serine_phosphorylation
ENSMUSG00000002603	Tgfb1	GO:0033138	positive regulation of peptidyl-serine phosphorylation	positive_regulation_of_peptidyl-serine_phosphorylation
ENSMUSG00000040407	Akap9	GO:0033138	positive regulation of peptidyl-serine phosphorylation	positive_regulation_of_peptidyl-serine_phosphorylation
ENSMUSG00000031451	Gas6	GO:0033138	positive regulation of peptidyl-serine phosphorylation	positive_regulation_of_peptidyl-serine_phosphorylation
ENSMUSG00000000394	Gcg	GO:0033138	positive regulation of peptidyl-serine phosphorylation	positive_regulation_of_peptidyl-serine_phosphorylation
