ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022982	Sod1	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000031712	Il15	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000023992	Trem2	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000055170	Ifng	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000055447	Cd47	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000015053	Gata2	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000024863	Mbl2	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000031451	Gas6	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000031264	Btk	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000024164	C3	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000022607	Ptk2	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000022912	Pros1	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000037944	Ccr7	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000017631	Abr	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000039145	Camk1d	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000021484	Lman2	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000055994	Nod2	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000031028	Tub	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000020143	Dock2	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000022868	Ahsg	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000022443	Myh9	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000065987	Cd209b	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000078783	Sirpd	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000095788	Sirpb1a	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000095028	Sirpb1b	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000074677	Sirpb1c	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000052270	Fpr2	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000079700	Fpr3	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000048062	Fpr-rs4	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000071276	Fpr-rs7	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000030793	Pycard	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000060701	Fpr-rs3	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000027832	Ptx3	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000037446	Tulp1	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000068227	Il2rb	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000031304	Il2rg	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000032083	Apoa1	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000009681	Bcr	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000078780	Gm5150	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000006519	Cyba	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000005681	Apoa2	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000058715	Fcer1g	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000021789	Sftpa1	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000015947	Fcgr1	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000037780	Mbl1	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000021795	Sftpd	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000071275	Fpr-rs6	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000003814	Calr	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000024401	Tnf	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000026177	Slc11a1	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
ENSMUSG00000035722	Abca7	GO:0050766	positive regulation of phagocytosis	positive_regulation_of_phagocytosis
