ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000061603	Akap6	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000031616	Ednra	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000024107	Lhcgr	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000024122	Pdpk1	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000019787	Trdn	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000030147	Clec4b1	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000030724	Cd19	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000052353	Cemip	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000003161	Sri	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000021478	Drd1	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000027568	Ntsr1	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000032011	Thy1	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000079110	Capn3	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000041347	Bdkrb1	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000032839	Trpc1	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000031778	Cx3cl1	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000048376	F2r	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000050147	F2rl3	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000050232	Cxcr3	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000025889	Snca	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000026573	Xcl1	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000062773	Tex101	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000027249	F2	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000043659	Npsr1	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000016933	Plcg1	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000026385	Dbi	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000029417	Cxcl9	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000026842	Abl1	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000034855	Cxcl10	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000007122	Casq1	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000053647	Gper1	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000044338	Aplnr	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000003873	Bax	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
ENSMUSG00000020383	Il13	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol
