ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000056201	Cfl1	GO:0031915	positive regulation of synaptic plasticity	positive_regulation_of_synaptic_plasticity
ENSMUSG00000038255	Neurod2	GO:0031915	positive regulation of synaptic plasticity	positive_regulation_of_synaptic_plasticity
ENSMUSG00000025867	Cplx2	GO:0031915	positive regulation of synaptic plasticity	positive_regulation_of_synaptic_plasticity
ENSMUSG00000031393	Mecp2	GO:0031915	positive regulation of synaptic plasticity	positive_regulation_of_synaptic_plasticity
ENSMUSG00000034675	Dbn1	GO:0031915	positive regulation of synaptic plasticity	positive_regulation_of_synaptic_plasticity
ENSMUSG00000028664	Ephb2	GO:0031915	positive regulation of synaptic plasticity	positive_regulation_of_synaptic_plasticity
ENSMUSG00000006398	Cdc20	GO:0031915	positive regulation of synaptic plasticity	positive_regulation_of_synaptic_plasticity
ENSMUSG00000034799	Unc13a	GO:0031915	positive regulation of synaptic plasticity	positive_regulation_of_synaptic_plasticity
ENSMUSG00000042121	Ssh1	GO:0031915	positive regulation of synaptic plasticity	positive_regulation_of_synaptic_plasticity
ENSMUSG00000022376	Adcy8	GO:0031915	positive regulation of synaptic plasticity	positive_regulation_of_synaptic_plasticity
ENSMUSG00000032487	Ptgs2	GO:0031915	positive regulation of synaptic plasticity	positive_regulation_of_synaptic_plasticity
ENSMUSG00000017737	Mmp9	GO:0031915	positive regulation of synaptic plasticity	positive_regulation_of_synaptic_plasticity
ENSMUSG00000026965	Anapc2	GO:0031915	positive regulation of synaptic plasticity	positive_regulation_of_synaptic_plasticity
