ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000037075	Rnf139	GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	positive_regulation_of_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000022037	Clu	GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	positive_regulation_of_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000059456	Ptk2b	GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	positive_regulation_of_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000028086	Fbxw7	GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	positive_regulation_of_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000022607	Ptk2	GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	positive_regulation_of_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000038780	Smurf1	GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	positive_regulation_of_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000028581	Laptm5	GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	positive_regulation_of_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000031143	Ccdc22	GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	positive_regulation_of_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000032309	Fbxo22	GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	positive_regulation_of_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000028017	Egf	GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	positive_regulation_of_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000061298	Agbl4	GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	positive_regulation_of_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000036913	Trim67	GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	positive_regulation_of_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000043051	Disc1	GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	positive_regulation_of_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000039089	L3mbtl3	GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	positive_regulation_of_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000021557	Agtpbp1	GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	positive_regulation_of_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000013663	Pten	GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	positive_regulation_of_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000020265	Sumo3	GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	positive_regulation_of_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000024182	Axin1	GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	positive_regulation_of_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000028452	Vcp	GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	positive_regulation_of_ubiquitin-dependent_protein_catabolic_process
