ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000020601	Trib2	GO:0051443	positive regulation of ubiquitin-protein transferase activity	positive_regulation_of_ubiquitin-protein_transferase_activity
ENSMUSG00000032501	Trib1	GO:0051443	positive regulation of ubiquitin-protein transferase activity	positive_regulation_of_ubiquitin-protein_transferase_activity
ENSMUSG00000027708	Dcun1d1	GO:0051443	positive regulation of ubiquitin-protein transferase activity	positive_regulation_of_ubiquitin-protein_transferase_activity
ENSMUSG00000038506	Dcun1d2	GO:0051443	positive regulation of ubiquitin-protein transferase activity	positive_regulation_of_ubiquitin-protein_transferase_activity
ENSMUSG00000113255	Tes3-ps	GO:0051443	positive regulation of ubiquitin-protein transferase activity	positive_regulation_of_ubiquitin-protein_transferase_activity
ENSMUSG00000028086	Fbxw7	GO:0051443	positive regulation of ubiquitin-protein transferase activity	positive_regulation_of_ubiquitin-protein_transferase_activity
ENSMUSG00000032715	Trib3	GO:0051443	positive regulation of ubiquitin-protein transferase activity	positive_regulation_of_ubiquitin-protein_transferase_activity
ENSMUSG00000074794	Arrdc3	GO:0051443	positive regulation of ubiquitin-protein transferase activity	positive_regulation_of_ubiquitin-protein_transferase_activity
ENSMUSG00000051674	Dcun1d4	GO:0051443	positive regulation of ubiquitin-protein transferase activity	positive_regulation_of_ubiquitin-protein_transferase_activity
ENSMUSG00000042659	Arrdc4	GO:0051443	positive regulation of ubiquitin-protein transferase activity	positive_regulation_of_ubiquitin-protein_transferase_activity
ENSMUSG00000032171	Pin1	GO:0051443	positive regulation of ubiquitin-protein transferase activity	positive_regulation_of_ubiquitin-protein_transferase_activity
ENSMUSG00000038965	Ube2l3	GO:0051443	positive regulation of ubiquitin-protein transferase activity	positive_regulation_of_ubiquitin-protein_transferase_activity
ENSMUSG00000024182	Axin1	GO:0051443	positive regulation of ubiquitin-protein transferase activity	positive_regulation_of_ubiquitin-protein_transferase_activity
ENSMUSG00000044533	Rps2	GO:0051443	positive regulation of ubiquitin-protein transferase activity	positive_regulation_of_ubiquitin-protein_transferase_activity
ENSMUSG00000048787	Dcun1d3	GO:0051443	positive regulation of ubiquitin-protein transferase activity	positive_regulation_of_ubiquitin-protein_transferase_activity
ENSMUSG00000036822	Topors	GO:0051443	positive regulation of ubiquitin-protein transferase activity	positive_regulation_of_ubiquitin-protein_transferase_activity
ENSMUSG00000039615	Stub1	GO:0051443	positive regulation of ubiquitin-protein transferase activity	positive_regulation_of_ubiquitin-protein_transferase_activity
ENSMUSG00000074781	Ube2n	GO:0051443	positive regulation of ubiquitin-protein transferase activity	positive_regulation_of_ubiquitin-protein_transferase_activity
ENSMUSG00000032002	Dcun1d5	GO:0051443	positive regulation of ubiquitin-protein transferase activity	positive_regulation_of_ubiquitin-protein_transferase_activity
ENSMUSG00000030867	Plk1	GO:0051443	positive regulation of ubiquitin-protein transferase activity	positive_regulation_of_ubiquitin-protein_transferase_activity
ENSMUSG00000074997	Pin1rt1	GO:0051443	positive regulation of ubiquitin-protein transferase activity	positive_regulation_of_ubiquitin-protein_transferase_activity
ENSMUSG00000026739	Bmi1	GO:0051443	positive regulation of ubiquitin-protein transferase activity	positive_regulation_of_ubiquitin-protein_transferase_activity
