ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021367	Edn1	GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	positive_regulation_of_vascular_associated_smooth_muscle_cell_proliferation
ENSMUSG00000021974	Fgf9	GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	positive_regulation_of_vascular_associated_smooth_muscle_cell_proliferation
ENSMUSG00000020184	Mdm2	GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	positive_regulation_of_vascular_associated_smooth_muscle_cell_proliferation
ENSMUSG00000021611	Tert	GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	positive_regulation_of_vascular_associated_smooth_muscle_cell_proliferation
ENSMUSG00000029020	Mfn2	GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	positive_regulation_of_vascular_associated_smooth_muscle_cell_proliferation
ENSMUSG00000003154	Foxj2	GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	positive_regulation_of_vascular_associated_smooth_muscle_cell_proliferation
ENSMUSG00000020053	Igf1	GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	positive_regulation_of_vascular_associated_smooth_muscle_cell_proliferation
ENSMUSG00000024789	Jak2	GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	positive_regulation_of_vascular_associated_smooth_muscle_cell_proliferation
ENSMUSG00000049115	Agtr1a	GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	positive_regulation_of_vascular_associated_smooth_muscle_cell_proliferation
ENSMUSG00000049511	Htr1b	GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	positive_regulation_of_vascular_associated_smooth_muscle_cell_proliferation
ENSMUSG00000037225	Fgf2	GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	positive_regulation_of_vascular_associated_smooth_muscle_cell_proliferation
ENSMUSG00000053819	Camk2d	GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	positive_regulation_of_vascular_associated_smooth_muscle_cell_proliferation
ENSMUSG00000031613	Hpgd	GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	positive_regulation_of_vascular_associated_smooth_muscle_cell_proliferation
ENSMUSG00000046949	Nqo2	GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	positive_regulation_of_vascular_associated_smooth_muscle_cell_proliferation
ENSMUSG00000032562	Gnai2	GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	positive_regulation_of_vascular_associated_smooth_muscle_cell_proliferation
