ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000005864	Cnga2	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000017765	Slc12a4	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000047298	Kcnv2	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000016327	Atp1b4	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000030247	Kcnj8	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000035580	Kcnh8	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000024936	Kcnk7	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000032034	Kcnj5	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000041248	Kcnj1	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000040901	Kcnk18	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000017756	Slc12a7	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000047330	Kcne4	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000056258	Kcnq3	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000030249	Abcc9	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000031449	Atp4b	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000036760	Kcnk9	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000059742	Kcnh7	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000034462	Pkd2	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000043301	Kcnj6	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000022742	Cpox	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000062609	Kcnj15	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000054477	Kcnn2	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000045404	Kcnk13	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000050963	Kcns2	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000092083	Kcnb2	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000062785	Kcnc3	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000057123	Gja5	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000026812	Tsc1	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000041771	Slc24a4	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000053519	Kcnip1	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000020155	Kcnmb1	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000022342	Kcnv1	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000023243	Kcnk5	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000023387	Kcnk16	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000034402	Kcnh5	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000045534	Kcna5	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000047976	Kcna1	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000038077	Kcna6	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000028033	Kcnq5	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000035355	Kcnh4	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000025221	Kcnip2	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000033161	Atp1a1	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000037579	Kcnh3	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000042529	Kcnj12	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000013495	Tmem175	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000028931	Kcnab2	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000021730	Hcn1	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000060882	Kcnd2	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000079436	Kcnj13	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000004655	Aqp1	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000032338	Hcn4	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000035681	Kcnc2	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000016346	Kcnq2	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000025358	Cdk2	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000044216	Kcnj4	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000032412	Atp1b3	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000035506	Slc12a8	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000024597	Slc12a2	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000033998	Kcnk1	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000037341	Slc9a7	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000059852	Kcng2	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000003031	Cdkn1b	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000045053	Kcng3	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000058248	Kcnh1	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000043673	Kcns3	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000040896	Kcnd3	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000025645	Ccdc51	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000027827	Kcnab1	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000024957	Kcnk4	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000039639	Kcne1	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000037996	Slc24a2	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000063142	Kcnma1	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000039672	Kcne2	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000051726	Kcnf1	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000026576	Atp1b1	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000000794	Kcnn3	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000059412	Fxyd2	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000054342	Kcnn4	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000002908	Kcnn1	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000022229	Atp12a	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000040485	Lrrc52	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000037610	Kcnmb2	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000091091	Kcnmb3	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000031576	Kcnu1	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000045246	Kcng4	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000009731	Kcnd1	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000034187	Nsf	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000038319	Kcnh2	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000028978	Nos3	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000009907	Vps4b	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000028973	Abcb8	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000040907	Atp1a3	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000035165	Kcne3	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000035183	Slc24a5	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000047959	Kcna3	GO:0006813	potassium ion transport	potassium_ion_transport
ENSMUSG00000040724	Kcna2	GO:0006813	potassium ion transport	potassium_ion_transport
