ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000065508	Mir17	GO:0002329	pre-B cell differentiation	pre-B_cell_differentiation
ENSMUSG00000065403	Mir18	GO:0002329	pre-B cell differentiation	pre-B_cell_differentiation
ENSMUSG00000065416	Mir19a	GO:0002329	pre-B cell differentiation	pre-B_cell_differentiation
ENSMUSG00000065442	Mir20a	GO:0002329	pre-B cell differentiation	pre-B_cell_differentiation
ENSMUSG00000076256	Mir19b-1	GO:0002329	pre-B cell differentiation	pre-B_cell_differentiation
ENSMUSG00000076062	Mir92-1	GO:0002329	pre-B cell differentiation	pre-B_cell_differentiation
ENSMUSG00000047139	Cd24a	GO:0002329	pre-B cell differentiation	pre-B_cell_differentiation
ENSMUSG00000062949	Atp11c	GO:0002329	pre-B cell differentiation	pre-B_cell_differentiation
ENSMUSG00000030067	Foxp1	GO:0002329	pre-B cell differentiation	pre-B_cell_differentiation
ENSMUSG00000007476	Lrrc8a	GO:0002329	pre-B cell differentiation	pre-B_cell_differentiation
ENSMUSG00000099041	Gm28035	GO:0002329	pre-B cell differentiation	pre-B_cell_differentiation
