ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000055531	Cpsf6	GO:0098789	pre-mRNA cleavage required for polyadenylation	pre-mRNA_cleavage_required_for_polyadenylation
ENSMUSG00000053536	Cstf2t	GO:0098789	pre-mRNA cleavage required for polyadenylation	pre-mRNA_cleavage_required_for_polyadenylation
ENSMUSG00000031256	Cstf2	GO:0098789	pre-mRNA cleavage required for polyadenylation	pre-mRNA_cleavage_required_for_polyadenylation
ENSMUSG00000029625	Cpsf4	GO:0098789	pre-mRNA cleavage required for polyadenylation	pre-mRNA_cleavage_required_for_polyadenylation
ENSMUSG00000041781	Cpsf2	GO:0098789	pre-mRNA cleavage required for polyadenylation	pre-mRNA_cleavage_required_for_polyadenylation
ENSMUSG00000034820	Cpsf7	GO:0098789	pre-mRNA cleavage required for polyadenylation	pre-mRNA_cleavage_required_for_polyadenylation
ENSMUSG00000031754	Nudt21	GO:0098789	pre-mRNA cleavage required for polyadenylation	pre-mRNA_cleavage_required_for_polyadenylation
ENSMUSG00000022774	Ncbp2	GO:0098789	pre-mRNA cleavage required for polyadenylation	pre-mRNA_cleavage_required_for_polyadenylation
ENSMUSG00000071645	Tut1	GO:0098789	pre-mRNA cleavage required for polyadenylation	pre-mRNA_cleavage_required_for_polyadenylation
ENSMUSG00000018727	Cpsf4l	GO:0098789	pre-mRNA cleavage required for polyadenylation	pre-mRNA_cleavage_required_for_polyadenylation
ENSMUSG00000028330	Ncbp1	GO:0098789	pre-mRNA cleavage required for polyadenylation	pre-mRNA_cleavage_required_for_polyadenylation
