ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000063358	Mapk1	GO:0050847	progesterone receptor signaling pathway	progesterone_receptor_signaling_pathway
ENSMUSG00000034341	Wbp2	GO:0050847	progesterone receptor signaling pathway	progesterone_receptor_signaling_pathway
ENSMUSG00000053110	Yap1	GO:0050847	progesterone receptor signaling pathway	progesterone_receptor_signaling_pathway
ENSMUSG00000037487	Ubr5	GO:0050847	progesterone receptor signaling pathway	progesterone_receptor_signaling_pathway
ENSMUSG00000031870	Pgr	GO:0050847	progesterone receptor signaling pathway	progesterone_receptor_signaling_pathway
ENSMUSG00000031823	Zdhhc7	GO:0050847	progesterone receptor signaling pathway	progesterone_receptor_signaling_pathway
ENSMUSG00000064043	Trerf1	GO:0050847	progesterone receptor signaling pathway	progesterone_receptor_signaling_pathway
ENSMUSG00000027646	Src	GO:0050847	progesterone receptor signaling pathway	progesterone_receptor_signaling_pathway
ENSMUSG00000032216	Nedd4	GO:0050847	progesterone receptor signaling pathway	progesterone_receptor_signaling_pathway
ENSMUSG00000025326	Ube3a	GO:0050847	progesterone receptor signaling pathway	progesterone_receptor_signaling_pathway
ENSMUSG00000038845	Phb	GO:0050847	progesterone receptor signaling pathway	progesterone_receptor_signaling_pathway
