ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031688	Pou4f2	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000024382	Ercc3	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000022141	Nipbl	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000028800	Hdac1	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000038418	Egr1	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000039630	Hnrnpu	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000020063	Sirt1	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000019777	Hdac2	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000042699	Dhx9	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000018160	Med1	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000029687	Ezh2	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000018168	Ikzf3	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000002658	Gtf2f1	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000031393	Mecp2	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000048402	Gli2	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000038151	Prdm1	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000026104	Stat1	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000059273	Zc3h4	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000043866	Taf10	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000044167	Foxo1	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000029644	Pdx1	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000031166	Wdr13	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000031666	Rbl2	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000021055	Esr2	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000015937	Macroh2a1	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000042258	Isl1	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000019768	Esr1	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000003549	Ercc1	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000022545	Ercc4	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000033006	Sox10	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000049410	Zfp683	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000042406	Atf4	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000004099	Dnmt1	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000055024	Ep300	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000022394	L3mbtl2	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000024985	Tcf7l2	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000037369	Kdm6a	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000028271	Gtf2b	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000031314	Taf1	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000040632	Nrl	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000014039	Prdm15	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000036940	Kdm1a	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000014859	E2f4	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000017548	Suz12	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000050295	Foxc1	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000026313	Hdac4	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000032402	Smad3	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000042903	Foxo4	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000022556	Hsf1	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000046714	Foxc2	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000027641	Rbl1	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000027104	Atf2	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000040524	Zfp609	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000032376	Usp3	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000009471	Myod1	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000003032	Klf4	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000029167	Ppargc1a	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000069678	Pcgf1	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000013787	Ehmt2	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000041235	Chd7	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000063550	Nup98	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000036390	Gadd45a	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000038615	Nfe2l1	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000005566	Trim28	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000059552	Trp53	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000005198	Polr2a	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000039238	Zfp750	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000018537	Pcgf2	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000003184	Irf3	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000033585	Ndn	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
ENSMUSG00000026739	Bmi1	GO:1990841	promoter-specific chromatin binding	promoter-specific_chromatin_binding
