ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021379	Id4	GO:0060740	prostate gland epithelium morphogenesis	prostate_gland_epithelium_morphogenesis
ENSMUSG00000035451	Foxa1	GO:0060740	prostate gland epithelium morphogenesis	prostate_gland_epithelium_morphogenesis
ENSMUSG00000020053	Igf1	GO:0060740	prostate gland epithelium morphogenesis	prostate_gland_epithelium_morphogenesis
ENSMUSG00000028364	Tnc	GO:0060740	prostate gland epithelium morphogenesis	prostate_gland_epithelium_morphogenesis
ENSMUSG00000004043	Stat5a	GO:0060740	prostate gland epithelium morphogenesis	prostate_gland_epithelium_morphogenesis
ENSMUSG00000021055	Esr2	GO:0060740	prostate gland epithelium morphogenesis	prostate_gland_epithelium_morphogenesis
ENSMUSG00000031740	Mmp2	GO:0060740	prostate gland epithelium morphogenesis	prostate_gland_epithelium_morphogenesis
ENSMUSG00000039519	Cyp7b1	GO:0060740	prostate gland epithelium morphogenesis	prostate_gland_epithelium_morphogenesis
ENSMUSG00000001288	Rarg	GO:0060740	prostate gland epithelium morphogenesis	prostate_gland_epithelium_morphogenesis
ENSMUSG00000046532	Ar	GO:0060740	prostate gland epithelium morphogenesis	prostate_gland_epithelium_morphogenesis
ENSMUSG00000026923	Notch1	GO:0060740	prostate gland epithelium morphogenesis	prostate_gland_epithelium_morphogenesis
