ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000000409	Lck	GO:1990405	protein antigen binding	protein_antigen_binding
ENSMUSG00000073421	H2-Ab1	GO:1990405	protein antigen binding	protein_antigen_binding
ENSMUSG00000059481	Plg	GO:1990405	protein antigen binding	protein_antigen_binding
ENSMUSG00000030165	Klrd1	GO:1990405	protein antigen binding	protein_antigen_binding
ENSMUSG00000052736	Klrc2	GO:1990405	protein antigen binding	protein_antigen_binding
ENSMUSG00000007564	Ppp2r1a	GO:1990405	protein antigen binding	protein_antigen_binding
ENSMUSG00000055024	Ep300	GO:1990405	protein antigen binding	protein_antigen_binding
ENSMUSG00000029505	Ep400	GO:1990405	protein antigen binding	protein_antigen_binding
ENSMUSG00000020349	Ppp2ca	GO:1990405	protein antigen binding	protein_antigen_binding
ENSMUSG00000027009	Itga4	GO:1990405	protein antigen binding	protein_antigen_binding
ENSMUSG00000059208	Hnrnpm	GO:1990405	protein antigen binding	protein_antigen_binding
ENSMUSG00000037902	Sirpa	GO:1990405	protein antigen binding	protein_antigen_binding
