ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000056124	B4galt6	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000021360	Gcnt2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000000420	Galnt1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000043300	B3galnt1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000031232	Magt1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000056812	St8sia3	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000043019	Edem3	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000026047	Poglut2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000042104	Uggt2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000024172	St6gal2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000021978	Extl3	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000039037	St6galnac5	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000052544	St6galnac3	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000034126	Pomt2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000032059	Alg9	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000028618	Tmem59	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000059479	B3gnt8	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000032038	St3gal4	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000035845	Alg12	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000031449	Atp4b	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000030283	St8sia1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000067851	Arfgef1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000034487	Poglut3	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000034620	Rxylt1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000013846	St3gal1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000043998	Mgat2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000041594	Tmtc4	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000032116	Stt3a	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000031749	St3gal2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000022747	St3gal6	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000056091	St3gal5	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000022686	B3gnt5	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000096914	Galntl6	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000063362	Alg11	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000074892	B3galt5	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000024085	Man2a1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000026994	Galnt3	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000033809	Alg3	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000026829	Gbgt1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000048920	Fkrp	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000041084	Ostc	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000021188	Trip11	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000043153	Crppa	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000036155	Mgat5	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000034780	B3galt1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000036372	Tmem258	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000025789	St8sia2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000029431	B3gnt4	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000008763	Man1a2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000003746	Man1a	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000057286	St6galnac2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000049307	Fut4	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000070284	Gmppb	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000009588	St6galnac1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000061731	Ext1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000019888	Mgat4c	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000023143	Nagpa	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000039427	Alg1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000036019	Tmtc2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000043857	Mgat5b	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000030306	Tmtc1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000024413	Npc1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000026156	B3gat2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000024064	Galnt14	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000021504	B4galt7	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000022885	St6gal1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000029233	Srd5a3	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000034893	Cog3	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000021065	Fut8	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000052584	Serp2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000038843	Gcnt1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000027808	Serp1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000021130	Galnt16	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000039357	Fut11	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000032123	Dpagt1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000039242	B3galnt2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000021903	Galnt15	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000012117	Dhdds	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000019969	Psen1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000025425	St8sia5	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000033316	Galnt9	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000003418	St8sia6	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000038296	Galnt18	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000091387	Gcnt4	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000028838	Extl1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000046152	Fut10	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000028700	Pomgnt1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000004383	Large1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000022174	Dad1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000020346	Mgat1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000034160	Ogt	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000037953	A4gnt	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000042747	Krtcap2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000042737	Dpm3	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000035704	Alg8	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000034064	Poglut1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000021236	Entpd5	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000037470	Uggt1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000071649	B3gat3	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000022793	B4galt4	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000069920	B3gnt9	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000038886	Man2a2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000028538	St3gal3	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000047379	B4gat1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000117789	Gm50388	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000046367	Mgat4e	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000031803	B3gnt3	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000118664	Tusc3	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000026110	Mgat4a	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000074004	B3gnt6	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000028757	Ddost	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000040710	St8sia4	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000037280	Galnt6	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000020260	Pofut2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000036632	Alg5	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000027642	Rpn2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000045994	B3gat1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000067370	B3galt4	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000089704	Galnt2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000031608	Galnt7	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000034040	Galnt17	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000033849	B3galt2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000020520	Galnt10	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000032437	Stt3b	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000038072	Galnt11	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000032226	Gcnt3	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000055373	Fut9	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000055730	Ces2a	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000052423	B4galt3	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000036676	Tmtc3	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000079445	B3gnt7	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000002279	Lmf1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000066235	Pomgnt2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000028413	B4galt1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000042460	C1galt1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000039254	Pomt1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000090035	Galnt4	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000034951	Cog7	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000002546	Golga2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000023068	Nus1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000030062	Rpn1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000039774	Galnt12	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000028414	Fktn	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000073792	Alg6	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000036646	Man1b1	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000036587	Fut7	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000017929	B4galt5	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000013418	B4galnt2	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000093752	Gm20716	GO:0006486	protein glycosylation	protein_glycosylation
ENSMUSG00000078919	Dpm1	GO:0006486	protein glycosylation	protein_glycosylation
