ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000042743	Sgtb	GO:0051291	protein heterooligomerization	protein_heterooligomerization
ENSMUSG00000071477	Zfp777	GO:0051291	protein heterooligomerization	protein_heterooligomerization
ENSMUSG00000057691	Zfp746	GO:0051291	protein heterooligomerization	protein_heterooligomerization
ENSMUSG00000054434	Tmem120b	GO:0051291	protein heterooligomerization	protein_heterooligomerization
ENSMUSG00000035864	Syt1	GO:0051291	protein heterooligomerization	protein_heterooligomerization
ENSMUSG00000079258	Calhm1	GO:0051291	protein heterooligomerization	protein_heterooligomerization
ENSMUSG00000094219	Calhm3	GO:0051291	protein heterooligomerization	protein_heterooligomerization
ENSMUSG00000035681	Kcnc2	GO:0051291	protein heterooligomerization	protein_heterooligomerization
ENSMUSG00000071648	Rom1	GO:0051291	protein heterooligomerization	protein_heterooligomerization
ENSMUSG00000023978	Prph2	GO:0051291	protein heterooligomerization	protein_heterooligomerization
ENSMUSG00000004937	Sgta	GO:0051291	protein heterooligomerization	protein_heterooligomerization
ENSMUSG00000053907	Mat2a	GO:0051291	protein heterooligomerization	protein_heterooligomerization
ENSMUSG00000039886	Tmem120a	GO:0051291	protein heterooligomerization	protein_heterooligomerization
