ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000037070	Rbmxl1	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000027788	Otol1	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000098557	Kctd12	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000022149	C9	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000047298	Kcnv2	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000046168	Kcnrg	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000041681	Iapp	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000016946	Kctd5	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000036006	Ripor2	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000037653	Kctd8	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000037966	Ninj1	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000022205	Sub1	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000024772	Ehd1	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000041633	Kctd12b	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000020464	Pnpt1	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000042743	Sgtb	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000032691	Nlrp3	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000020674	Pxdn	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000057691	Zfp746	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000038257	Glra3	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000051401	Kctd16	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000021066	Atl1	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000038214	Bend3	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000022602	Arc	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000050963	Kcns2	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000046688	Tifa	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000027293	Ehd4	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000092083	Kcnb2	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000024759	Atl3	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000062785	Kcnc3	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000025940	Tmem70	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000031293	Rs1	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000031922	Cep57	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000022342	Kcnv1	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000045534	Kcna5	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000047976	Kcna1	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000038077	Kcna6	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000056962	Jmjd6	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000030350	Prmt8	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000024065	Ehd3	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000020111	Micu1	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000054770	Kctd18	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000024068	Spast	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000033454	Zbtb1	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000039193	Nlrc4	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000046523	Kctd4	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000036225	Kctd1	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000010086	Rnf112	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000079258	Calhm1	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000060882	Kcnd2	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000035681	Kcnc2	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000002578	Ikzf4	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000040028	Elavl1	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000030795	Fus	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000030793	Pycard	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000042828	Trim72	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000059811	Atl2	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000037202	Prf1	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000026024	Als2	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000034206	Polq	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000022575	Gsdmd	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000059852	Kcng2	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000045053	Kcng3	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000043673	Kcns3	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000040896	Kcnd3	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000027699	Ect2	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000044952	Kctd21	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000051727	Kctd14	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000022892	App	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000017615	Tnfaip1	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000017314	Mpp2	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000051726	Kcnf1	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000028191	Bcl10	GO:0051260	protein homooligomerization	protein_homooligomerization
ENSMUSG00000071648	Rom1	GO:0051260	protein homooligomerization	protein_homooligomerization
