ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021367	Edn1	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000031616	Ednra	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000032578	Cish	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000027720	Il2	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000049511	Htr1b	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000049583	Grm5	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000036095	Dgkb	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000045471	Hcrt	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000024680	Ms4a2	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000022861	Dgkg	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000041347	Bdkrb1	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000004815	Dgkq	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000003476	Crhr2	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000034731	Dgkh	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000025357	Dgka	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000068206	Pick1	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000048376	F2r	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000062393	Dgkk	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000020178	Adora2a	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000028635	Edn2	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000038665	Dgki	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000026228	Htr2b	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000032532	Cck	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000000276	Dgke	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000070738	Dgkd	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
ENSMUSG00000040479	Dgkz	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	protein_kinase_C-activating_G_protein-coupled_receptor_signaling_pathway
