ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022827	Rabl3	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000059898	Dsc3	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000034774	Dsg1c	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000069441	Dsg1a	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000061928	Dsg1b	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000024610	Cd74	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000056900	Usp13	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000021270	Hsp90aa1	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000047242	Taf9b	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000027835	Pdcd10	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000049792	Bag5	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000037787	Coa8	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000016534	Lamp2	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000028517	Plpp3	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000026235	Epha4	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000025437	Usp33	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000078941	Ak6	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000052293	Taf9	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000069089	Cdk7	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000035078	Mtmr9	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000039456	Morc3	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000071415	Rpl23	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000045374	Wdr81	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000020053	Igf1	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000041417	Pik3r1	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000032060	Cryab	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000022037	Clu	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000031447	Lamp1	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000052595	A1cf	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000076431	Sox4	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000031386	Hcfc1	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000028086	Fbxw7	GO:0050821	protein stabilization	protein_stabilization
ENSMUSG00000046269	Usp27x	GO:0050821	protein stabilization	protein_stabilization
