ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000078908	Mon1b	GO:0006623	protein targeting to vacuole	protein_targeting_to_vacuole
ENSMUSG00000032583	Mon1a	GO:0006623	protein targeting to vacuole	protein_targeting_to_vacuole
ENSMUSG00000033653	Vps8	GO:0006623	protein targeting to vacuole	protein_targeting_to_vacuole
ENSMUSG00000048832	Vps37c	GO:0006623	protein targeting to vacuole	protein_targeting_to_vacuole
ENSMUSG00000046230	Vps13a	GO:0006623	protein targeting to vacuole	protein_targeting_to_vacuole
ENSMUSG00000041236	Vps41	GO:0006623	protein targeting to vacuole	protein_targeting_to_vacuole
ENSMUSG00000031600	Vps37a	GO:0006623	protein targeting to vacuole	protein_targeting_to_vacuole
ENSMUSG00000032571	Pik3r4	GO:0006623	protein targeting to vacuole	protein_targeting_to_vacuole
ENSMUSG00000020220	Vps13d	GO:0006623	protein targeting to vacuole	protein_targeting_to_vacuole
ENSMUSG00000035284	Vps13c	GO:0006623	protein targeting to vacuole	protein_targeting_to_vacuole
ENSMUSG00000020198	Ap3d1	GO:0006623	protein targeting to vacuole	protein_targeting_to_vacuole
ENSMUSG00000043614	Vps37d	GO:0006623	protein targeting to vacuole	protein_targeting_to_vacuole
ENSMUSG00000020128	Vps54	GO:0006623	protein targeting to vacuole	protein_targeting_to_vacuole
ENSMUSG00000066278	Vps37b	GO:0006623	protein targeting to vacuole	protein_targeting_to_vacuole
