ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000069053	Uba1y	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000032656	Marchf3	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000033107	Rnf125	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000024317	Rnf138	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000056537	Rlim	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000118409	Btbd35f5	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000048379	Socs4	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000042350	Arel1	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000041773	Enc1	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000031651	Triml1	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000091490	Triml2	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000034317	Trim59	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000037075	Rnf139	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000022124	Fbxl3	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000044164	Rnf182	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000033004	Mycbp2	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000036537	Rnf113a1	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000064140	Trim38	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000036977	Anapc10	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000059586	Nsmce2	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000020184	Mdm2	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000022663	Atg3	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000037104	Socs5	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000051285	Pcmtd1	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000021898	Asb14	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000038175	Mylip	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000005371	Fbxo11	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000038876	Rnf146	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000001786	Fbxo7	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000045210	Vcpip1	GO:0016567	protein ubiquitination	protein_ubiquitination
ENSMUSG00000035235	Trim13	GO:0016567	protein ubiquitination	protein_ubiquitination
