ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000069044	Usp9y	GO:0006508	proteolysis	proteolysis
ENSMUSG00000025075	Habp2	GO:0006508	proteolysis	proteolysis
ENSMUSG00000024313	Mep1b	GO:0006508	proteolysis	proteolysis
ENSMUSG00000053441	Adamts19	GO:0006508	proteolysis	proteolysis
ENSMUSG00000025076	Casp7	GO:0006508	proteolysis	proteolysis
ENSMUSG00000056900	Usp13	GO:0006508	proteolysis	proteolysis
ENSMUSG00000063900	Adam26b	GO:0006508	proteolysis	proteolysis
ENSMUSG00000048516	Adam26a	GO:0006508	proteolysis	proteolysis
ENSMUSG00000050190	Adam34l	GO:0006508	proteolysis	proteolysis
ENSMUSG00000079058	Adam34	GO:0006508	proteolysis	proteolysis
ENSMUSG00000006179	Prss16	GO:0006508	proteolysis	proteolysis
ENSMUSG00000022111	Uchl3	GO:0006508	proteolysis	proteolysis
ENSMUSG00000024910	Ctsw	GO:0006508	proteolysis	proteolysis
ENSMUSG00000031645	F11	GO:0006508	proteolysis	proteolysis
ENSMUSG00000109764	Klkb1	GO:0006508	proteolysis	proteolysis
ENSMUSG00000031896	Ctrl	GO:0006508	proteolysis	proteolysis
ENSMUSG00000031897	Psmb10	GO:0006508	proteolysis	proteolysis
ENSMUSG00000020183	Cpm	GO:0006508	proteolysis	proteolysis
ENSMUSG00000036990	Otud4	GO:0006508	proteolysis	proteolysis
ENSMUSG00000031898	Dpep3	GO:0006508	proteolysis	proteolysis
ENSMUSG00000053687	Dpep2	GO:0006508	proteolysis	proteolysis
ENSMUSG00000115067	Dpep2	GO:0006508	proteolysis	proteolysis
ENSMUSG00000024386	Proc	GO:0006508	proteolysis	proteolysis
ENSMUSG00000038250	Usp38	GO:0006508	proteolysis	proteolysis
ENSMUSG00000033177	Tmprss7	GO:0006508	proteolysis	proteolysis
ENSMUSG00000021993	Mipep	GO:0006508	proteolysis	proteolysis
ENSMUSG00000049538	Adamts16	GO:0006508	proteolysis	proteolysis
ENSMUSG00000070695	Cntnap5a	GO:0006508	proteolysis	proteolysis
ENSMUSG00000041763	Tpp2	GO:0006508	proteolysis	proteolysis
ENSMUSG00000032357	Tinag	GO:0006508	proteolysis	proteolysis
ENSMUSG00000033453	Adamts15	GO:0006508	proteolysis	proteolysis
ENSMUSG00000031994	Adamts8	GO:0006508	proteolysis	proteolysis
