ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000064356	mt-Atp8	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	proton-transporting_ATP_synthase_activity,_rotational_mechanism
ENSMUSG00000064357	mt-Atp6	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	proton-transporting_ATP_synthase_activity,_rotational_mechanism
ENSMUSG00000052459	Atp6v1a	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	proton-transporting_ATP_synthase_activity,_rotational_mechanism
ENSMUSG00000116933	Atp5o	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	proton-transporting_ATP_synthase_activity,_rotational_mechanism
ENSMUSG00000016252	Atp5e	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	proton-transporting_ATP_synthase_activity,_rotational_mechanism
ENSMUSG00000038690	Atp5j2	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	proton-transporting_ATP_synthase_activity,_rotational_mechanism
ENSMUSG00000025393	Atp5b	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	proton-transporting_ATP_synthase_activity,_rotational_mechanism
ENSMUSG00000050856	Atp5k	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	proton-transporting_ATP_synthase_activity,_rotational_mechanism
ENSMUSG00000025428	Atp5a1	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	proton-transporting_ATP_synthase_activity,_rotational_mechanism
ENSMUSG00000038717	Atp5l	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	proton-transporting_ATP_synthase_activity,_rotational_mechanism
ENSMUSG00000022890	Atp5j	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	proton-transporting_ATP_synthase_activity,_rotational_mechanism
ENSMUSG00000022956	Atp5o	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	proton-transporting_ATP_synthase_activity,_rotational_mechanism
ENSMUSG00000000563	Atp5pb	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	proton-transporting_ATP_synthase_activity,_rotational_mechanism
ENSMUSG00000096486	Gm5426	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	proton-transporting_ATP_synthase_activity,_rotational_mechanism
ENSMUSG00000003072	Atp5d	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	proton-transporting_ATP_synthase_activity,_rotational_mechanism
ENSMUSG00000034566	Atp5h	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	proton-transporting_ATP_synthase_activity,_rotational_mechanism
ENSMUSG00000025781	Atp5c1	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	proton-transporting_ATP_synthase_activity,_rotational_mechanism
