ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000064341	mt-Nd1	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	proton_motive_force-driven_mitochondrial_ATP_synthesis
ENSMUSG00000064345	mt-Nd2	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	proton_motive_force-driven_mitochondrial_ATP_synthesis
ENSMUSG00000064356	mt-Atp8	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	proton_motive_force-driven_mitochondrial_ATP_synthesis
ENSMUSG00000064357	mt-Atp6	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	proton_motive_force-driven_mitochondrial_ATP_synthesis
ENSMUSG00000064360	mt-Nd3	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	proton_motive_force-driven_mitochondrial_ATP_synthesis
ENSMUSG00000065947	mt-Nd4l	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	proton_motive_force-driven_mitochondrial_ATP_synthesis
ENSMUSG00000064363	mt-Nd4	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	proton_motive_force-driven_mitochondrial_ATP_synthesis
ENSMUSG00000064367	mt-Nd5	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	proton_motive_force-driven_mitochondrial_ATP_synthesis
ENSMUSG00000064368	mt-Nd6	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	proton_motive_force-driven_mitochondrial_ATP_synthesis
ENSMUSG00000022820	Ndufb4	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	proton_motive_force-driven_mitochondrial_ATP_synthesis
ENSMUSG00000027673	Ndufb5	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	proton_motive_force-driven_mitochondrial_ATP_synthesis
ENSMUSG00000022450	Ndufa6	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	proton_motive_force-driven_mitochondrial_ATP_synthesis
ENSMUSG00000022354	Ndufb9	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	proton_motive_force-driven_mitochondrial_ATP_synthesis
ENSMUSG00000016427	Ndufa1	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	proton_motive_force-driven_mitochondrial_ATP_synthesis
ENSMUSG00000021606	Ndufs6	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	proton_motive_force-driven_mitochondrial_ATP_synthesis
ENSMUSG00000033938	Ndufb7	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	proton_motive_force-driven_mitochondrial_ATP_synthesis
ENSMUSG00000000171	Sdhd	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	proton_motive_force-driven_mitochondrial_ATP_synthesis
ENSMUSG00000014294	Ndufa2	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	proton_motive_force-driven_mitochondrial_ATP_synthesis
ENSMUSG00000021577	Sdha	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	proton_motive_force-driven_mitochondrial_ATP_synthesis
ENSMUSG00000016252	Atp5e	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	proton_motive_force-driven_mitochondrial_ATP_synthesis
ENSMUSG00000038690	Atp5j2	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	proton_motive_force-driven_mitochondrial_ATP_synthesis
