ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024868	Dkk1	GO:0048019	receptor antagonist activity	receptor_antagonist_activity
ENSMUSG00000031465	Angpt2	GO:0048019	receptor antagonist activity	receptor_antagonist_activity
ENSMUSG00000031535	Dkk4	GO:0048019	receptor antagonist activity	receptor_antagonist_activity
ENSMUSG00000096887	Gm20594	GO:0048019	receptor antagonist activity	receptor_antagonist_activity
ENSMUSG00000028031	Dkk2	GO:0048019	receptor antagonist activity	receptor_antagonist_activity
ENSMUSG00000055301	Adh7	GO:0048019	receptor antagonist activity	receptor_antagonist_activity
ENSMUSG00000029103	Lrpap1	GO:0048019	receptor antagonist activity	receptor_antagonist_activity
ENSMUSG00000030772	Dkk3	GO:0048019	receptor antagonist activity	receptor_antagonist_activity
ENSMUSG00000071192	Wfikkn1	GO:0048019	receptor antagonist activity	receptor_antagonist_activity
ENSMUSG00000044177	Wfikkn2	GO:0048019	receptor antagonist activity	receptor_antagonist_activity
ENSMUSG00000030792	Dkkl1	GO:0048019	receptor antagonist activity	receptor_antagonist_activity
