ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000038291	Snx25	GO:0032801	receptor catabolic process	receptor_catabolic_process
ENSMUSG00000002603	Tgfb1	GO:0032801	receptor catabolic process	receptor_catabolic_process
ENSMUSG00000038780	Smurf1	GO:0032801	receptor catabolic process	receptor_catabolic_process
ENSMUSG00000035086	Becn1	GO:0032801	receptor catabolic process	receptor_catabolic_process
ENSMUSG00000024942	Capn1	GO:0032801	receptor catabolic process	receptor_catabolic_process
ENSMUSG00000037062	Sh3glb1	GO:0032801	receptor catabolic process	receptor_catabolic_process
ENSMUSG00000021190	Lgmn	GO:0032801	receptor catabolic process	receptor_catabolic_process
ENSMUSG00000031813	Mvb12a	GO:0032801	receptor catabolic process	receptor_catabolic_process
ENSMUSG00000035354	Uvrag	GO:0032801	receptor catabolic process	receptor_catabolic_process
ENSMUSG00000032571	Pik3r4	GO:0032801	receptor catabolic process	receptor_catabolic_process
ENSMUSG00000028969	Cdk5	GO:0032801	receptor catabolic process	receptor_catabolic_process
ENSMUSG00000032216	Nedd4	GO:0032801	receptor catabolic process	receptor_catabolic_process
ENSMUSG00000038844	Kif16b	GO:0032801	receptor catabolic process	receptor_catabolic_process
