ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000046434	Hnrnpa1	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000022961	Son	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000084128	Esrp2	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000028134	Ptbp2	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000078941	Ak6	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000052293	Taf9	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000055660	Mettl4	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000020069	Hnrnph3	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000022139	Mbnl2	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000000708	Kat2b	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000003119	Cdk12	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000033732	Sf3b3	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000045427	Hnrnph2	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000030714	Sgf29	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000029290	Zfp326	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000036109	Mbnl3	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000043866	Taf10	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000001962	Fam50a	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000028899	Taf12	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000020918	Kat2a	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000008658	Rbfox1	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000022858	Tra2b	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000042506	Usp22	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000033565	Rbfox2	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000026034	Clk1	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000030016	Zfp638	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000039810	Zc3h10	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000043639	Rbm20	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000025576	Rbfox3	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000027763	Mbnl1	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000030795	Fus	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000024095	Hnrnpll	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000038954	Supt3	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000078348	Sf3b5	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000022900	Ildr1	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000029196	Tada2b	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000118667	Ahnak2	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000027829	Ccnl1	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000020385	Clk4	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000031189	Aff2	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000003680	Taf6l	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000069833	Ahnak	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000022338	Eny2	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000031157	Pqbp1	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000058392	Rrp1b	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000021738	Atxn7	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000027751	Supt20	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000042079	Hnrnpf	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000044221	Grsf1	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000038697	Taf5l	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000028959	Fastk	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000068917	Clk2	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000009471	Myod1	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000006498	Ptbp1	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000063919	Srrm4	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000028382	Ptbp3	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000040728	Esrp1	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000018379	Srsf1	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000052137	Rbm12b2	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000046667	Rbm12b1	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000032316	Clk3	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000048930	Tada3	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000053134	Supt7l	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000029062	Cdk11b	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000029068	Ccnl2	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000040612	Ildr2	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000026563	Tada1	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000027510	Rbm38	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000015165	Hnrnpl	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000053198	Prx	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000007850	Hnrnph1	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000029279	Brdt	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000063511	Snrnp70	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000059995	Atxn7l3	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000005506	Celf1	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
ENSMUSG00000089824	Rbm12	GO:0043484	regulation of RNA splicing	regulation_of_RNA_splicing
