ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022812	Gsk3b	GO:0051128	regulation of cellular component organization	regulation_of_cellular_component_organization
ENSMUSG00000052593	Adam17	GO:0051128	regulation of cellular component organization	regulation_of_cellular_component_organization
ENSMUSG00000028991	Mtor	GO:0051128	regulation of cellular component organization	regulation_of_cellular_component_organization
ENSMUSG00000059456	Ptk2b	GO:0051128	regulation of cellular component organization	regulation_of_cellular_component_organization
ENSMUSG00000022607	Ptk2	GO:0051128	regulation of cellular component organization	regulation_of_cellular_component_organization
ENSMUSG00000019803	Nr2e1	GO:0051128	regulation of cellular component organization	regulation_of_cellular_component_organization
ENSMUSG00000026837	Col5a1	GO:0051128	regulation of cellular component organization	regulation_of_cellular_component_organization
ENSMUSG00000001630	Stk38l	GO:0051128	regulation of cellular component organization	regulation_of_cellular_component_organization
ENSMUSG00000045761	Togaram2	GO:0051128	regulation of cellular component organization	regulation_of_cellular_component_organization
ENSMUSG00000028399	Ptprd	GO:0051128	regulation of cellular component organization	regulation_of_cellular_component_organization
ENSMUSG00000032409	Atr	GO:0051128	regulation of cellular component organization	regulation_of_cellular_component_organization
ENSMUSG00000033295	Ptprf	GO:0051128	regulation of cellular component organization	regulation_of_cellular_component_organization
ENSMUSG00000040549	Ckap5	GO:0051128	regulation of cellular component organization	regulation_of_cellular_component_organization
ENSMUSG00000033392	Clasp2	GO:0051128	regulation of cellular component organization	regulation_of_cellular_component_organization
ENSMUSG00000057177	Gsk3a	GO:0051128	regulation of cellular component organization	regulation_of_cellular_component_organization
ENSMUSG00000054693	Adam10	GO:0051128	regulation of cellular component organization	regulation_of_cellular_component_organization
ENSMUSG00000013236	Ptprs	GO:0051128	regulation of cellular component organization	regulation_of_cellular_component_organization
ENSMUSG00000064302	Clasp1	GO:0051128	regulation of cellular component organization	regulation_of_cellular_component_organization
