ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000033906	Zdhhc15	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
ENSMUSG00000056201	Cfl1	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
ENSMUSG00000026235	Epha4	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
ENSMUSG00000035258	Abi3bp	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
ENSMUSG00000022623	Shank3	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
ENSMUSG00000022602	Arc	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
ENSMUSG00000053825	Ppfia2	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
ENSMUSG00000042700	Sipa1l1	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
ENSMUSG00000028273	Pdlim5	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
ENSMUSG00000040265	Dnm3	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
ENSMUSG00000036273	Lrrk2	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
ENSMUSG00000026782	Abi2	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
ENSMUSG00000031302	Nlgn3	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
ENSMUSG00000048895	Cdk5r1	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
ENSMUSG00000028969	Cdk5	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
ENSMUSG00000053580	Tanc2	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
ENSMUSG00000054693	Adam10	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
ENSMUSG00000032827	Ppp1r9a	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
ENSMUSG00000018381	Abi3	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
ENSMUSG00000033389	Arhgap44	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
ENSMUSG00000038453	Srcin1	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
ENSMUSG00000036882	Arhgap33	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
ENSMUSG00000037703	Lzts3	GO:0061001	regulation of dendritic spine morphogenesis	regulation_of_dendritic_spine_morphogenesis
