ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000041974	Spidr	GO:0010569	regulation of double-strand break repair via homologous recombination	regulation_of_double-strand_break_repair_via_homologous_recombination
ENSMUSG00000037855	Zfp365	GO:0010569	regulation of double-strand break repair via homologous recombination	regulation_of_double-strand_break_repair_via_homologous_recombination
ENSMUSG00000032113	Chek1	GO:0010569	regulation of double-strand break repair via homologous recombination	regulation_of_double-strand_break_repair_via_homologous_recombination
ENSMUSG00000118537	Shld3	GO:0010569	regulation of double-strand break repair via homologous recombination	regulation_of_double-strand_break_repair_via_homologous_recombination
ENSMUSG00000033430	Terf2ip	GO:0010569	regulation of double-strand break repair via homologous recombination	regulation_of_double-strand_break_repair_via_homologous_recombination
ENSMUSG00000028884	Rpa2	GO:0010569	regulation of double-strand break repair via homologous recombination	regulation_of_double-strand_break_repair_via_homologous_recombination
ENSMUSG00000030346	Rad51ap1	GO:0010569	regulation of double-strand break repair via homologous recombination	regulation_of_double-strand_break_repair_via_homologous_recombination
ENSMUSG00000038685	Rtel1	GO:0010569	regulation of double-strand break repair via homologous recombination	regulation_of_double-strand_break_repair_via_homologous_recombination
ENSMUSG00000041471	Shld2	GO:0010569	regulation of double-strand break repair via homologous recombination	regulation_of_double-strand_break_repair_via_homologous_recombination
ENSMUSG00000067215	Usp51	GO:0010569	regulation of double-strand break repair via homologous recombination	regulation_of_double-strand_break_repair_via_homologous_recombination
ENSMUSG00000009628	Tex15	GO:0010569	regulation of double-strand break repair via homologous recombination	regulation_of_double-strand_break_repair_via_homologous_recombination
ENSMUSG00000036940	Kdm1a	GO:0010569	regulation of double-strand break repair via homologous recombination	regulation_of_double-strand_break_repair_via_homologous_recombination
ENSMUSG00000044791	Setd2	GO:0010569	regulation of double-strand break repair via homologous recombination	regulation_of_double-strand_break_repair_via_homologous_recombination
ENSMUSG00000034748	Sirt6	GO:0010569	regulation of double-strand break repair via homologous recombination	regulation_of_double-strand_break_repair_via_homologous_recombination
ENSMUSG00000035455	Fignl1	GO:0010569	regulation of double-strand break repair via homologous recombination	regulation_of_double-strand_break_repair_via_homologous_recombination
ENSMUSG00000030697	Ppp4c	GO:0010569	regulation of double-strand break repair via homologous recombination	regulation_of_double-strand_break_repair_via_homologous_recombination
ENSMUSG00000027323	Rad51	GO:0010569	regulation of double-strand break repair via homologous recombination	regulation_of_double-strand_break_repair_via_homologous_recombination
