ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022672	Prkdc	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000031616	Ednra	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000022122	Ednrb	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000001228	Uhrf1	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000040681	Hmgn1	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000030093	Wnt7a	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000031870	Pgr	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000044220	Nkx2-3	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000051367	Six1	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000034460	Six4	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000035277	Arx	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000022528	Hes1	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000048001	Hes5	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000002250	Ppard	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000032402	Smad3	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000031565	Fgfr1	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000067006	Serpinb5	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000004446	Bid	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000039191	Rbpj	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000020170	Frs2	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000051397	Tacstd2	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000027276	Jag1	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000026923	Notch1	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
ENSMUSG00000015647	Lama5	GO:0050678	regulation of epithelial cell proliferation	regulation_of_epithelial_cell_proliferation
