ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000032344	Cgas	GO:0002637	regulation of immunoglobulin production	regulation_of_immunoglobulin_production
ENSMUSG00000057672	Pkn1	GO:0002637	regulation of immunoglobulin production	regulation_of_immunoglobulin_production
ENSMUSG00000039521	Foxp3	GO:0002637	regulation of immunoglobulin production	regulation_of_immunoglobulin_production
ENSMUSG00000019850	Tnfaip3	GO:0002637	regulation of immunoglobulin production	regulation_of_immunoglobulin_production
ENSMUSG00000049734	Trex1	GO:0002637	regulation of immunoglobulin production	regulation_of_immunoglobulin_production
ENSMUSG00000031132	Cd40lg	GO:0002637	regulation of immunoglobulin production	regulation_of_immunoglobulin_production
ENSMUSG00000024401	Tnf	GO:0002637	regulation of immunoglobulin production	regulation_of_immunoglobulin_production
ENSMUSG00000027164	Traf6	GO:0002637	regulation of immunoglobulin production	regulation_of_immunoglobulin_production
ENSMUSG00000017652	Cd40	GO:0002637	regulation of immunoglobulin production	regulation_of_immunoglobulin_production
ENSMUSG00000026942	Traf2	GO:0002637	regulation of immunoglobulin production	regulation_of_immunoglobulin_production
