ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000002489	Tiam1	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000065497	Mir410	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000047638	Nr1h4	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000024913	Lrp5	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000066456	Hmgn3	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000020889	Nr1d1	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000048915	Efna5	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000037994	Slc9b2	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000017716	Birc5	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000022840	Adcy5	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000024985	Tcf7l2	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000031065	Cdk16	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000022340	Sybu	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000029245	Epha5	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000034908	Sidt2	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000010505	Myt1	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000050296	Abca12	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000045038	Prkce	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000020546	Stxbp4	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000094410	Zbed6	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000053046	Brsk2	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000065400	Mir200a	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000037025	Foxa2	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
ENSMUSG00000065484	Mir130a	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus
