ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022982	Sod1	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000036923	Stox1	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000032066	Bco2	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000024997	Prdx3	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000062074	Ccn6	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000024781	Lipa	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000007659	Bcl2l1	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000045658	Pid1	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000010054	Tusc2	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000028982	Slc25a33	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000050511	Oprd1	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000028013	Ppa2	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000036580	Spg20	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000030352	Tspan9	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000023826	Prkn	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000006818	Sod2	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000057789	Bak1	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000032449	Slc25a36	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000019505	Ubb	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000025140	Pycr1	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000021486	Prelid1	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000028756	Pink1	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000041241	Mul1	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000020178	Adora2a	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000057329	Bcl2	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000033685	Ucp2	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000009013	Dynll1	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000007041	Clic1	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000025968	Ndufs1	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000025511	Tspan4	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000028964	Park7	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000118991	Mir451b	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000118889	Mir451a	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000003873	Bax	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000037514	Pank2	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
ENSMUSG00000074796	Slc4a11	GO:0051881	regulation of mitochondrial membrane potential	regulation_of_mitochondrial_membrane_potential
