ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000002489	Tiam1	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000021877	Arf4	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000020077	Srgn	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000022957	Itsn1	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000040490	Lrfn2	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000021994	Wnt5a	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000022377	Asap1	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000037541	Shank2	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000038459	Abhd17c	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000021464	Ror2	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000004843	Chmp2b	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000022623	Shank3	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000030093	Wnt7a	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000021180	Rps6ka5	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000034684	Sema3f	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000044548	Dact1	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000036095	Dgkb	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000031292	Cdkl5	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000020598	Nrcam	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000031284	Pak3	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000052372	Il1rapl1	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000047368	Abhd17b	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000043051	Disc1	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000021546	Hnrnpk	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000019969	Psen1	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000063506	Arhgap22	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000041078	Grid1	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000001729	Akt1	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000051136	Ghsr	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000029684	Wasl	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000049044	Rapgef4	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000025969	Nrp2	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000006699	Cdc42	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000031134	Rbmx	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000033295	Ptprf	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000003346	Abhd17a	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000028945	Rheb	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000028289	Epha7	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000054693	Adam10	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000059208	Hnrnpm	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000033933	Vhl	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000064177	Ghrl	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000015656	Hspa8	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000020745	Pafah1b1	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000029071	Dvl1	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000025372	Baiap2	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000020716	Nf1	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000059981	Taok2	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
ENSMUSG00000035168	Tanc1	GO:0099175	regulation of postsynapse organization	regulation_of_postsynapse_organization
