ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000040407	Akap9	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	regulation_of_postsynaptic_neurotransmitter_receptor_activity
ENSMUSG00000047495	Dlgap2	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	regulation_of_postsynaptic_neurotransmitter_receptor_activity
ENSMUSG00000059991	Nptx2	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	regulation_of_postsynaptic_neurotransmitter_receptor_activity
ENSMUSG00000033768	Nrxn2	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	regulation_of_postsynaptic_neurotransmitter_receptor_activity
ENSMUSG00000036902	Neto2	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	regulation_of_postsynaptic_neurotransmitter_receptor_activity
ENSMUSG00000003279	Dlgap1	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	regulation_of_postsynaptic_neurotransmitter_receptor_activity
ENSMUSG00000050321	Neto1	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	regulation_of_postsynaptic_neurotransmitter_receptor_activity
ENSMUSG00000022494	Shisa9	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	regulation_of_postsynaptic_neurotransmitter_receptor_activity
ENSMUSG00000019146	Cacng2	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	regulation_of_postsynaptic_neurotransmitter_receptor_activity
ENSMUSG00000007617	Homer1	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	regulation_of_postsynaptic_neurotransmitter_receptor_activity
ENSMUSG00000040867	Begain	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	regulation_of_postsynaptic_neurotransmitter_receptor_activity
ENSMUSG00000053930	Shisa6	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	regulation_of_postsynaptic_neurotransmitter_receptor_activity
ENSMUSG00000003573	Homer3	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	regulation_of_postsynaptic_neurotransmitter_receptor_activity
ENSMUSG00000024873	Cnih2	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	regulation_of_postsynaptic_neurotransmitter_receptor_activity
ENSMUSG00000053550	Shisa7	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	regulation_of_postsynaptic_neurotransmitter_receptor_activity
ENSMUSG00000022421	Nptxr	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	regulation_of_postsynaptic_neurotransmitter_receptor_activity
ENSMUSG00000061689	Dlgap4	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	regulation_of_postsynaptic_neurotransmitter_receptor_activity
ENSMUSG00000027646	Src	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	regulation_of_postsynaptic_neurotransmitter_receptor_activity
ENSMUSG00000020723	Cacng4	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	regulation_of_postsynaptic_neurotransmitter_receptor_activity
ENSMUSG00000040373	Cacng5	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	regulation_of_postsynaptic_neurotransmitter_receptor_activity
ENSMUSG00000042388	Dlgap3	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	regulation_of_postsynaptic_neurotransmitter_receptor_activity
ENSMUSG00000025582	Nptx1	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	regulation_of_postsynaptic_neurotransmitter_receptor_activity
