ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000020290	Xpo1	GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	regulation_of_proteasomal_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000029276	Glmn	GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	regulation_of_proteasomal_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000008604	Ubqln4	GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	regulation_of_proteasomal_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000022472	Desi1	GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	regulation_of_proteasomal_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000038402	Foxf2	GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	regulation_of_proteasomal_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000074247	Dda1	GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	regulation_of_proteasomal_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000022996	Wnt10b	GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	regulation_of_proteasomal_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000001127	Araf	GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	regulation_of_proteasomal_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000003813	Rad23a	GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	regulation_of_proteasomal_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000028426	Rad23b	GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	regulation_of_proteasomal_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000040359	Ufl1	GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	regulation_of_proteasomal_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000029203	Ube2k	GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	regulation_of_proteasomal_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000000149	Gna12	GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	regulation_of_proteasomal_ubiquitin-dependent_protein_catabolic_process
ENSMUSG00000051355	Commd1	GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	regulation_of_proteasomal_ubiquitin-dependent_protein_catabolic_process
