ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000033628	Pik3c3	GO:0050708	regulation of protein secretion	regulation_of_protein_secretion
ENSMUSG00000020782	Llgl2	GO:0050708	regulation of protein secretion	regulation_of_protein_secretion
ENSMUSG00000074513	Arfip1	GO:0050708	regulation of protein secretion	regulation_of_protein_secretion
ENSMUSG00000035775	Krt20	GO:0050708	regulation of protein secretion	regulation_of_protein_secretion
ENSMUSG00000028017	Egf	GO:0050708	regulation of protein secretion	regulation_of_protein_secretion
ENSMUSG00000020806	Rhbdf2	GO:0050708	regulation of protein secretion	regulation_of_protein_secretion
ENSMUSG00000020536	Llgl1	GO:0050708	regulation of protein secretion	regulation_of_protein_secretion
ENSMUSG00000035804	Ins1	GO:0050708	regulation of protein secretion	regulation_of_protein_secretion
ENSMUSG00000019790	Stxbp5	GO:0050708	regulation of protein secretion	regulation_of_protein_secretion
ENSMUSG00000022829	Stxbp5l	GO:0050708	regulation of protein secretion	regulation_of_protein_secretion
ENSMUSG00000026740	Dnajc1	GO:0050708	regulation of protein secretion	regulation_of_protein_secretion
ENSMUSG00000028641	P3h1	GO:0050708	regulation of protein secretion	regulation_of_protein_secretion
ENSMUSG00000026335	Pam	GO:0050708	regulation of protein secretion	regulation_of_protein_secretion
ENSMUSG00000024401	Tnf	GO:0050708	regulation of protein secretion	regulation_of_protein_secretion
ENSMUSG00000034748	Sirt6	GO:0050708	regulation of protein secretion	regulation_of_protein_secretion
ENSMUSG00000034175	Rhbdd3	GO:0050708	regulation of protein secretion	regulation_of_protein_secretion
ENSMUSG00000000215	Ins2	GO:0050708	regulation of protein secretion	regulation_of_protein_secretion
ENSMUSG00000020282	Rhbdf1	GO:0050708	regulation of protein secretion	regulation_of_protein_secretion
