ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000038683	Pak1ip1	GO:1901796	regulation of signal transduction by p53 class mediator	regulation_of_signal_transduction_by_p53_class_mediator
ENSMUSG00000061024	Rrs1	GO:1901796	regulation of signal transduction by p53 class mediator	regulation_of_signal_transduction_by_p53_class_mediator
ENSMUSG00000038510	Rpf2	GO:1901796	regulation of signal transduction by p53 class mediator	regulation_of_signal_transduction_by_p53_class_mediator
ENSMUSG00000058558	Rpl5	GO:1901796	regulation of signal transduction by p53 class mediator	regulation_of_signal_transduction_by_p53_class_mediator
ENSMUSG00000059291	Rpl11	GO:1901796	regulation of signal transduction by p53 class mediator	regulation_of_signal_transduction_by_p53_class_mediator
ENSMUSG00000048416	Mlf1	GO:1901796	regulation of signal transduction by p53 class mediator	regulation_of_signal_transduction_by_p53_class_mediator
ENSMUSG00000022557	Bop1	GO:1901796	regulation of signal transduction by p53 class mediator	regulation_of_signal_transduction_by_p53_class_mediator
ENSMUSG00000049300	Prmt6	GO:1901796	regulation of signal transduction by p53 class mediator	regulation_of_signal_transduction_by_p53_class_mediator
ENSMUSG00000029833	Trim24	GO:1901796	regulation of signal transduction by p53 class mediator	regulation_of_signal_transduction_by_p53_class_mediator
ENSMUSG00000038279	Nop2	GO:1901796	regulation of signal transduction by p53 class mediator	regulation_of_signal_transduction_by_p53_class_mediator
ENSMUSG00000040424	Hipk4	GO:1901796	regulation of signal transduction by p53 class mediator	regulation_of_signal_transduction_by_p53_class_mediator
ENSMUSG00000041560	Nop53	GO:1901796	regulation of signal transduction by p53 class mediator	regulation_of_signal_transduction_by_p53_class_mediator
