ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000033060	Lmo7	GO:0023051	regulation of signaling	regulation_of_signaling
ENSMUSG00000022637	Cblb	GO:0023051	regulation of signaling	regulation_of_signaling
ENSMUSG00000048960	Prex2	GO:0023051	regulation of signaling	regulation_of_signaling
ENSMUSG00000038065	Mturn	GO:0023051	regulation of signaling	regulation_of_signaling
ENSMUSG00000034342	Cbl	GO:0023051	regulation of signaling	regulation_of_signaling
ENSMUSG00000018500	Adora2b	GO:0023051	regulation of signaling	regulation_of_signaling
ENSMUSG00000040525	Cblc	GO:0023051	regulation of signaling	regulation_of_signaling
ENSMUSG00000020178	Adora2a	GO:0023051	regulation of signaling	regulation_of_signaling
ENSMUSG00000000562	Adora3	GO:0023051	regulation of signaling	regulation_of_signaling
ENSMUSG00000058755	Osm	GO:0023051	regulation of signaling	regulation_of_signaling
ENSMUSG00000034394	Lif	GO:0023051	regulation of signaling	regulation_of_signaling
ENSMUSG00000039621	Prex1	GO:0023051	regulation of signaling	regulation_of_signaling
ENSMUSG00000042429	Adora1	GO:0023051	regulation of signaling	regulation_of_signaling
