ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000045730	Adrb2	GO:0006940	regulation of smooth muscle contraction	regulation_of_smooth_muscle_contraction
ENSMUSG00000038150	Ormdl3	GO:0006940	regulation of smooth muscle contraction	regulation_of_smooth_muscle_contraction
ENSMUSG00000032303	Chrna3	GO:0006940	regulation of smooth muscle contraction	regulation_of_smooth_muscle_contraction
ENSMUSG00000035200	Chrnb4	GO:0006940	regulation of smooth muscle contraction	regulation_of_smooth_muscle_contraction
ENSMUSG00000007655	Cav1	GO:0006940	regulation of smooth muscle contraction	regulation_of_smooth_muscle_contraction
ENSMUSG00000029236	Nmu	GO:0006940	regulation of smooth muscle contraction	regulation_of_smooth_muscle_contraction
ENSMUSG00000045318	Adra2c	GO:0006940	regulation of smooth muscle contraction	regulation_of_smooth_muscle_contraction
ENSMUSG00000033717	Adra2a	GO:0006940	regulation of smooth muscle contraction	regulation_of_smooth_muscle_contraction
ENSMUSG00000042626	Shc1	GO:0006940	regulation of smooth muscle contraction	regulation_of_smooth_muscle_contraction
ENSMUSG00000035458	Tnni3	GO:0006940	regulation of smooth muscle contraction	regulation_of_smooth_muscle_contraction
ENSMUSG00000029761	Cald1	GO:0006940	regulation of smooth muscle contraction	regulation_of_smooth_muscle_contraction
ENSMUSG00000045613	Chrm2	GO:0006940	regulation of smooth muscle contraction	regulation_of_smooth_muscle_contraction
ENSMUSG00000007097	Atp1a2	GO:0006940	regulation of smooth muscle contraction	regulation_of_smooth_muscle_contraction
ENSMUSG00000058620	Adra2b	GO:0006940	regulation of smooth muscle contraction	regulation_of_smooth_muscle_contraction
ENSMUSG00000020787	P2rx1	GO:0006940	regulation of smooth muscle contraction	regulation_of_smooth_muscle_contraction
