ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000037526	Atg14	GO:0090207	regulation of triglyceride metabolic process	regulation_of_triglyceride_metabolic_process
ENSMUSG00000041567	Serpina12	GO:0090207	regulation of triglyceride metabolic process	regulation_of_triglyceride_metabolic_process
ENSMUSG00000057074	Ces1g	GO:0090207	regulation of triglyceride metabolic process	regulation_of_triglyceride_metabolic_process
ENSMUSG00000035596	Mboat7	GO:0090207	regulation of triglyceride metabolic process	regulation_of_triglyceride_metabolic_process
ENSMUSG00000002985	Apoe	GO:0090207	regulation of triglyceride metabolic process	regulation_of_triglyceride_metabolic_process
ENSMUSG00000022219	Cideb	GO:0090207	regulation of triglyceride metabolic process	regulation_of_triglyceride_metabolic_process
ENSMUSG00000021779	Thrb	GO:0090207	regulation of triglyceride metabolic process	regulation_of_triglyceride_metabolic_process
ENSMUSG00000027630	Tbl1xr1	GO:0090207	regulation of triglyceride metabolic process	regulation_of_triglyceride_metabolic_process
ENSMUSG00000002279	Lmf1	GO:0090207	regulation of triglyceride metabolic process	regulation_of_triglyceride_metabolic_process
ENSMUSG00000023439	Gnb3	GO:0090207	regulation of triglyceride metabolic process	regulation_of_triglyceride_metabolic_process
ENSMUSG00000037514	Pank2	GO:0090207	regulation of triglyceride metabolic process	regulation_of_triglyceride_metabolic_process
