ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031639	Tlr3	GO:0032680	regulation of tumor necrosis factor production	regulation_of_tumor_necrosis_factor_production
ENSMUSG00000055447	Cd47	GO:0032680	regulation of tumor necrosis factor production	regulation_of_tumor_necrosis_factor_production
ENSMUSG00000027995	Tlr2	GO:0032680	regulation of tumor necrosis factor production	regulation_of_tumor_necrosis_factor_production
ENSMUSG00000022749	Tbc1d23	GO:0032680	regulation of tumor necrosis factor production	regulation_of_tumor_necrosis_factor_production
ENSMUSG00000039005	Tlr4	GO:0032680	regulation of tumor necrosis factor production	regulation_of_tumor_necrosis_factor_production
ENSMUSG00000022309	Angpt1	GO:0032680	regulation of tumor necrosis factor production	regulation_of_tumor_necrosis_factor_production
ENSMUSG00000016528	Mapkapk2	GO:0032680	regulation of tumor necrosis factor production	regulation_of_tumor_necrosis_factor_production
ENSMUSG00000030067	Foxp1	GO:0032680	regulation of tumor necrosis factor production	regulation_of_tumor_necrosis_factor_production
ENSMUSG00000049734	Trex1	GO:0032680	regulation of tumor necrosis factor production	regulation_of_tumor_necrosis_factor_production
ENSMUSG00000032496	Ltf	GO:0032680	regulation of tumor necrosis factor production	regulation_of_tumor_necrosis_factor_production
ENSMUSG00000079164	Tlr5	GO:0032680	regulation of tumor necrosis factor production	regulation_of_tumor_necrosis_factor_production
ENSMUSG00000052336	Cx3cr1	GO:0032680	regulation of tumor necrosis factor production	regulation_of_tumor_necrosis_factor_production
ENSMUSG00000028277	Ube2j1	GO:0032680	regulation of tumor necrosis factor production	regulation_of_tumor_necrosis_factor_production
ENSMUSG00000044827	Tlr1	GO:0032680	regulation of tumor necrosis factor production	regulation_of_tumor_necrosis_factor_production
ENSMUSG00000051498	Tlr6	GO:0032680	regulation of tumor necrosis factor production	regulation_of_tumor_necrosis_factor_production
ENSMUSG00000037902	Sirpa	GO:0032680	regulation of tumor necrosis factor production	regulation_of_tumor_necrosis_factor_production
ENSMUSG00000032508	Myd88	GO:0032680	regulation of tumor necrosis factor production	regulation_of_tumor_necrosis_factor_production
ENSMUSG00000026928	Card9	GO:0032680	regulation of tumor necrosis factor production	regulation_of_tumor_necrosis_factor_production
ENSMUSG00000034641	Cd300ld	GO:0032680	regulation of tumor necrosis factor production	regulation_of_tumor_necrosis_factor_production
ENSMUSG00000044786	Zfp36	GO:0032680	regulation of tumor necrosis factor production	regulation_of_tumor_necrosis_factor_production
