ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000020882	Cacnb1	GO:1901385	regulation of voltage-gated calcium channel activity	regulation_of_voltage-gated_calcium_channel_activity
ENSMUSG00000034656	Cacna1a	GO:1901385	regulation of voltage-gated calcium channel activity	regulation_of_voltage-gated_calcium_channel_activity
ENSMUSG00000045103	Dmd	GO:1901385	regulation of voltage-gated calcium channel activity	regulation_of_voltage-gated_calcium_channel_activity
ENSMUSG00000057914	Cacnb2	GO:1901385	regulation of voltage-gated calcium channel activity	regulation_of_voltage-gated_calcium_channel_activity
ENSMUSG00000024842	Cabp4	GO:1901385	regulation of voltage-gated calcium channel activity	regulation_of_voltage-gated_calcium_channel_activity
ENSMUSG00000069833	Ahnak	GO:1901385	regulation of voltage-gated calcium channel activity	regulation_of_voltage-gated_calcium_channel_activity
ENSMUSG00000003352	Cacnb3	GO:1901385	regulation of voltage-gated calcium channel activity	regulation_of_voltage-gated_calcium_channel_activity
ENSMUSG00000032502	Stac	GO:1901385	regulation of voltage-gated calcium channel activity	regulation_of_voltage-gated_calcium_channel_activity
ENSMUSG00000029544	Cabp1	GO:1901385	regulation of voltage-gated calcium channel activity	regulation_of_voltage-gated_calcium_channel_activity
ENSMUSG00000005649	Cabp5	GO:1901385	regulation of voltage-gated calcium channel activity	regulation_of_voltage-gated_calcium_channel_activity
ENSMUSG00000028785	Hpca	GO:1901385	regulation of voltage-gated calcium channel activity	regulation_of_voltage-gated_calcium_channel_activity
ENSMUSG00000017412	Cacnb4	GO:1901385	regulation of voltage-gated calcium channel activity	regulation_of_voltage-gated_calcium_channel_activity
