ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000058355	Abce1	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000020982	Nemf	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000060450	Rnf14	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000040356	Skic2	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000061559	Skic8	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000033991	Skic3	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000019797	Mtres1	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000038774	Ascc3	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000052299	Ltn1	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000042275	Pelo	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000020372	Rack1	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000023952	Gtpbp2	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000029775	Klhdc10	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000031826	Usp10	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000032386	Trip4	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000001472	Tcf25	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000041130	Zfp598	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000041638	Gcn1	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000029397	Rchy1	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000019977	Hbs1l	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000026171	Rnf25	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000026199	Ankzf1	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000047635	Mtrfr	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000020412	Ascc2	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
ENSMUSG00000053746	Ptrh1	GO:0072344	rescue of stalled ribosome	rescue_of_stalled_ribosome
