ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000064358	mt-Co3	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000064370	mt-Cytb	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000021606	Ndufs6	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000027809	Etfdh	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000004610	Etfb	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000021577	Sdha	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000038462	Uqcrfs1	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000036932	Aifm1	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000091780	Sco2	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000040370	Etfrf1	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000032314	Etfa	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000056899	Immp2l	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000006818	Sod2	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000042251	Pm20d1	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000020085	Aifm2	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000020594	Pum2	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000022565	Plec	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000023089	Ndufa5	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000028756	Pink1	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000009863	Sdhb	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000030652	Coq7	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000028048	Gba	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000029167	Ppargc1a	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000020718	Polg2	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000040463	Mybbp1a	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000020128	Vps54	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000084844	Hoxb3os	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
ENSMUSG00000102869	Norad	GO:0022904	respiratory electron transport chain	respiratory_electron_transport_chain
