ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031906	Smpd3	GO:0060541	respiratory system development	respiratory_system_development
ENSMUSG00000022114	Spry2	GO:0060541	respiratory system development	respiratory_system_development
ENSMUSG00000072663	Spef2	GO:0060541	respiratory system development	respiratory_system_development
ENSMUSG00000021732	Fgf10	GO:0060541	respiratory system development	respiratory_system_development
ENSMUSG00000045680	Tcf21	GO:0060541	respiratory system development	respiratory_system_development
ENSMUSG00000097336	Fendrr	GO:0060541	respiratory system development	respiratory_system_development
ENSMUSG00000001566	Mnx1	GO:0060541	respiratory system development	respiratory_system_development
ENSMUSG00000012520	Phox2b	GO:0060541	respiratory system development	respiratory_system_development
ENSMUSG00000026124	Cfc1	GO:0060541	respiratory system development	respiratory_system_development
ENSMUSG00000026207	Speg	GO:0060541	respiratory system development	respiratory_system_development
ENSMUSG00000020319	Wdpcp	GO:0060541	respiratory system development	respiratory_system_development
