ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000045103	Dmd	GO:0014894	response to denervation involved in regulation of muscle adaptation	response_to_denervation_involved_in_regulation_of_muscle_adaptation
ENSMUSG00000039952	Dag1	GO:0014894	response to denervation involved in regulation of muscle adaptation	response_to_denervation_involved_in_regulation_of_muscle_adaptation
ENSMUSG00000022358	Fbxo32	GO:0014894	response to denervation involved in regulation of muscle adaptation	response_to_denervation_involved_in_regulation_of_muscle_adaptation
ENSMUSG00000006457	Actn3	GO:0014894	response to denervation involved in regulation of muscle adaptation	response_to_denervation_involved_in_regulation_of_muscle_adaptation
ENSMUSG00000026313	Hdac4	GO:0014894	response to denervation involved in regulation of muscle adaptation	response_to_denervation_involved_in_regulation_of_muscle_adaptation
ENSMUSG00000032511	Scn5a	GO:0014894	response to denervation involved in regulation of muscle adaptation	response_to_denervation_involved_in_regulation_of_muscle_adaptation
ENSMUSG00000018401	Mtmr4	GO:0014894	response to denervation involved in regulation of muscle adaptation	response_to_denervation_involved_in_regulation_of_muscle_adaptation
ENSMUSG00000007122	Casq1	GO:0014894	response to denervation involved in regulation of muscle adaptation	response_to_denervation_involved_in_regulation_of_muscle_adaptation
ENSMUSG00000026459	Myog	GO:0014894	response to denervation involved in regulation of muscle adaptation	response_to_denervation_involved_in_regulation_of_muscle_adaptation
ENSMUSG00000001508	Sgca	GO:0014894	response to denervation involved in regulation of muscle adaptation	response_to_denervation_involved_in_regulation_of_muscle_adaptation
