ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031443	F7	GO:0060416	response to growth hormone	response_to_growth_hormone
ENSMUSG00000057457	Phex	GO:0060416	response to growth hormone	response_to_growth_hormone
ENSMUSG00000020464	Pnpt1	GO:0060416	response to growth hormone	response_to_growth_hormone
ENSMUSG00000021490	Slc34a1	GO:0060416	response to growth hormone	response_to_growth_hormone
ENSMUSG00000027875	Hmgcs2	GO:0060416	response to growth hormone	response_to_growth_hormone
ENSMUSG00000014226	Cacybp	GO:0060416	response to growth hormone	response_to_growth_hormone
ENSMUSG00000055737	Ghr	GO:0060416	response to growth hormone	response_to_growth_hormone
ENSMUSG00000047821	Trim16	GO:0060416	response to growth hormone	response_to_growth_hormone
ENSMUSG00000001729	Akt1	GO:0060416	response to growth hormone	response_to_growth_hormone
ENSMUSG00000051136	Ghsr	GO:0060416	response to growth hormone	response_to_growth_hormone
ENSMUSG00000021594	Srd5a1	GO:0060416	response to growth hormone	response_to_growth_hormone
ENSMUSG00000025991	Cps1	GO:0060416	response to growth hormone	response_to_growth_hormone
ENSMUSG00000026185	Igfbp5	GO:0060416	response to growth hormone	response_to_growth_hormone
ENSMUSG00000076441	Ass1	GO:0060416	response to growth hormone	response_to_growth_hormone
ENSMUSG00000018899	Irf1	GO:0060416	response to growth hormone	response_to_growth_hormone
