ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022962	Gart	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000052727	Map1b	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000024927	Rela	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000005360	Slc1a3	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000020123	Avpr1a	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000000811	Txnrd3	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000021587	Pcsk1	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000063727	Tnfrsf11b	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000021901	Bap1	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000075704	Txnrd2	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000022797	Tfrc	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000037370	Enpp1	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000033373	Fntb	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000025958	Creb1	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000020178	Adora2a	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000023027	Atf1	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000023034	Nr4a1	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000026192	Atic	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000015994	Fnta	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000017697	Ada	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000020475	Pgam2	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000030310	Slc6a1	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000028393	Alad	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000032420	Nt5e	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000051149	Adnp	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000042429	Adora1	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000059552	Trp53	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000026826	Nr4a2	GO:0010035	response to inorganic substance	response_to_inorganic_substance
ENSMUSG00000011034	Slc5a1	GO:0010035	response to inorganic substance	response_to_inorganic_substance
