ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031688	Pou4f2	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000022111	Uchl3	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000057531	Dtnbp1	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000020212	Mdm1	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000012609	Ttll5	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000021608	Lpcat1	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000024935	Slc1a1	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000000753	Serpinf1	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000046049	Rp1l1	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000098274	Rpl24	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000026317	Cln8	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000024990	Rbp4	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000019803	Nr2e1	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000028174	Rpe65	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000034007	Scaper	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000032796	Lama1	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000047407	Tgif1	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000022843	Clcn2	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000031028	Tub	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000038122	Tbc1d32	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000056962	Jmjd6	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000029491	Pde6b	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000032012	Nectin1	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000027797	Dclk1	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000031285	Dcx	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000034739	Mfrp	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000034777	Vax2	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000039577	Nphp4	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000036192	Rorb	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000001751	Naglu	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000014773	Dll1	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000057132	Rpgrip1	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000048015	Neurod4	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000052430	Bmpr1b	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000008575	Nfib	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000055254	Ntrk2	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000040138	Ndp	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000001750	Tcirg1	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000067336	Bmpr2	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000032292	Nr2e3	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000004383	Large1	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000029064	Gnb1	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000037446	Tulp1	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000000617	Grm6	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000059436	Max	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000021557	Agtpbp1	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000029706	Pax4	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000071648	Rom1	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000023978	Prph2	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000028565	Nfia	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000020900	Myh10	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000076361	Mir182	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000065586	Mir96	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000065619	Mir183	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000062175	Tgif2	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000030324	Rho	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000001289	Pfdn5	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000025900	Rp1	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000030110	Ret	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000018698	Lhx1	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000063681	Crb1	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000026365	Cfh	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000001911	Nfix	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000049353	Rd3	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
ENSMUSG00000019971	Cep290	GO:0060041	retina development in camera-type eye	retina_development_in_camera-type_eye
