ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021983	Atp8a2	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000024935	Slc1a1	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000022722	Arl6	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000050272	Dscam	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000033278	Ptprm	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000031293	Rs1	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000025927	Tfap2b	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000074505	Fat3	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000031738	Irx6	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000029669	Tspan12	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000040138	Ndp	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000004383	Large1	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000008435	Rdh13	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000026735	Ptf1a	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000036466	Megf11	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000042002	Foxn4	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000061436	Hipk2	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000018698	Lhx1	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000063681	Crb1	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000008730	Hipk1	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000075012	Fjx1	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000028222	Calb1	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000041592	Sdk2	GO:0010842	retina layer formation	retina_layer_formation
ENSMUSG00000039683	Sdk1	GO:0010842	retina layer formation	retina_layer_formation
