ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000058756	Thra	GO:0048384	retinoic acid receptor signaling pathway	retinoic_acid_receptor_signaling_pathway
ENSMUSG00000037992	Rara	GO:0048384	retinoic acid receptor signaling pathway	retinoic_acid_receptor_signaling_pathway
ENSMUSG00000060601	Nr1h2	GO:0048384	retinoic acid receptor signaling pathway	retinoic_acid_receptor_signaling_pathway
ENSMUSG00000036986	Pml	GO:0048384	retinoic acid receptor signaling pathway	retinoic_acid_receptor_signaling_pathway
ENSMUSG00000001288	Rarg	GO:0048384	retinoic acid receptor signaling pathway	retinoic_acid_receptor_signaling_pathway
ENSMUSG00000026610	Esrrg	GO:0048384	retinoic acid receptor signaling pathway	retinoic_acid_receptor_signaling_pathway
ENSMUSG00000054808	Actn4	GO:0048384	retinoic acid receptor signaling pathway	retinoic_acid_receptor_signaling_pathway
ENSMUSG00000063415	Cyp26b1	GO:0048384	retinoic acid receptor signaling pathway	retinoic_acid_receptor_signaling_pathway
ENSMUSG00000006134	Crkl	GO:0048384	retinoic acid receptor signaling pathway	retinoic_acid_receptor_signaling_pathway
ENSMUSG00000021039	Snw1	GO:0048384	retinoic acid receptor signaling pathway	retinoic_acid_receptor_signaling_pathway
ENSMUSG00000026735	Ptf1a	GO:0048384	retinoic acid receptor signaling pathway	retinoic_acid_receptor_signaling_pathway
ENSMUSG00000021779	Thrb	GO:0048384	retinoic acid receptor signaling pathway	retinoic_acid_receptor_signaling_pathway
ENSMUSG00000017491	Rarb	GO:0048384	retinoic acid receptor signaling pathway	retinoic_acid_receptor_signaling_pathway
ENSMUSG00000015843	Rxrg	GO:0048384	retinoic acid receptor signaling pathway	retinoic_acid_receptor_signaling_pathway
ENSMUSG00000029004	Kmt2e	GO:0048384	retinoic acid receptor signaling pathway	retinoic_acid_receptor_signaling_pathway
ENSMUSG00000039656	Rxrb	GO:0048384	retinoic acid receptor signaling pathway	retinoic_acid_receptor_signaling_pathway
ENSMUSG00000013584	Aldh1a2	GO:0048384	retinoic acid receptor signaling pathway	retinoic_acid_receptor_signaling_pathway
ENSMUSG00000015846	Rxra	GO:0048384	retinoic acid receptor signaling pathway	retinoic_acid_receptor_signaling_pathway
