ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000026818	Cel	GO:0050253	retinyl-palmitate esterase activity	retinyl-palmitate_esterase_activity
ENSMUSG00000056973	Ces1d	GO:0050253	retinyl-palmitate esterase activity	retinyl-palmitate_esterase_activity
ENSMUSG00000061959	Ces1e	GO:0050253	retinyl-palmitate esterase activity	retinyl-palmitate_esterase_activity
ENSMUSG00000031725	Ces1f	GO:0050253	retinyl-palmitate esterase activity	retinyl-palmitate_esterase_activity
ENSMUSG00000003123	Lipe	GO:0050253	retinyl-palmitate esterase activity	retinyl-palmitate_esterase_activity
ENSMUSG00000055730	Ces2a	GO:0050253	retinyl-palmitate esterase activity	retinyl-palmitate_esterase_activity
ENSMUSG00000061825	Ces2c	GO:0050253	retinyl-palmitate esterase activity	retinyl-palmitate_esterase_activity
ENSMUSG00000031886	Ces2e	GO:0050253	retinyl-palmitate esterase activity	retinyl-palmitate_esterase_activity
ENSMUSG00000062826	Ces2f	GO:0050253	retinyl-palmitate esterase activity	retinyl-palmitate_esterase_activity
ENSMUSG00000029134	Plb1	GO:0050253	retinyl-palmitate esterase activity	retinyl-palmitate_esterase_activity
ENSMUSG00000025509	Pnpla2	GO:0050253	retinyl-palmitate esterase activity	retinyl-palmitate_esterase_activity
