ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021023	Prorp	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000024800	Rpp30	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000049950	Rpp38	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000022325	Pop1	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000021418	Rpp40	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000062309	Rpp25	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00002076202	Gm55201	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000112963	Gm6093	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000089229	Gm25043	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000089109	Gm23916	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000089040	Gm26174	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000088157	Gm26351	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000088383	Gm24687	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000088329	Gm25661	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000087775	Rprl2	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000088874	Gm25863	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000088025	Rprl3	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000023156	Rpp14	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000092837	Rpph1	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000060152	Pop5	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000088093	Gm22811	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000093189	Gm25694	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000087719	Gm26464	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000087764	Gm23984	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000024446	Rpp21	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000088675	Rprl1	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000106222	Rprl1	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000088954	Gm24943	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000030423	Pop4	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000029715	Pop7	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000089113	Gm22902	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
ENSMUSG00000089408	Gm24885	GO:0004526	ribonuclease P activity	ribonuclease_P_activity
