ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000009575	Cbx5	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000112449	Srp54b	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000020184	Mdm2	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000060098	Prmt7	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000039630	Hnrnpu	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000033216	Eefsec	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000066800	Rnasel	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000074698	Csnk2a1	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000029687	Ezh2	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000035139	Secisbp2	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000026896	Ifih1	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000049396	Gemin4	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000028023	Pitx2	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000091014	Gm5244	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000008373	Prpf31	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000027598	Itch	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000060373	Hnrnpc	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000055065	Ddx17	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000021546	Hnrnpk	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000030189	Ybx3	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000025580	Eif4a3	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000026019	Wdr12	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000040385	Ppp1ca	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000025626	Phf6	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000094973	Eif4a3l1	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000007892	Rplp1	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000020707	Rnf135	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000002455	Prpf6	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000073079	Srp54a	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000022557	Bop1	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000017485	Top2b	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000031157	Pqbp1	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000040549	Ckap5	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000060288	Ppih	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000026667	Uhmk1	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000107906	Eif4a3l2	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000033036	Ppihl	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000023110	Prmt5	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000020719	Ddx5	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000020430	Pes1	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000024387	Csnk2b	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000078193	Gm2000	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000085873	Ttc39aos1	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000040613	Apobec1	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000038290	Smg6	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000025508	Rplp2	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000003438	Timm50	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000062997	Rpl35	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
ENSMUSG00000042502	Cd2bp2	GO:0043021	ribonucleoprotein complex binding	ribonucleoprotein_complex_binding
