ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000046841	Ckap4	GO:0005791	rough endoplasmic reticulum	rough_endoplasmic_reticulum
ENSMUSG00000030082	Sec61a1	GO:0005791	rough endoplasmic reticulum	rough_endoplasmic_reticulum
ENSMUSG00000028003	Lrat	GO:0005791	rough endoplasmic reticulum	rough_endoplasmic_reticulum
ENSMUSG00000028001	Fga	GO:0005791	rough endoplasmic reticulum	rough_endoplasmic_reticulum
ENSMUSG00000024863	Mbl2	GO:0005791	rough endoplasmic reticulum	rough_endoplasmic_reticulum
ENSMUSG00000006191	Cdkal1	GO:0005791	rough endoplasmic reticulum	rough_endoplasmic_reticulum
ENSMUSG00000024798	Htr7	GO:0005791	rough endoplasmic reticulum	rough_endoplasmic_reticulum
ENSMUSG00000026473	Glul	GO:0005791	rough endoplasmic reticulum	rough_endoplasmic_reticulum
ENSMUSG00000034892	Rps29	GO:0005791	rough endoplasmic reticulum	rough_endoplasmic_reticulum
ENSMUSG00000021587	Pcsk1	GO:0005791	rough endoplasmic reticulum	rough_endoplasmic_reticulum
ENSMUSG00000019188	H13	GO:0005791	rough endoplasmic reticulum	rough_endoplasmic_reticulum
ENSMUSG00000008892	Vdac3	GO:0005791	rough endoplasmic reticulum	rough_endoplasmic_reticulum
ENSMUSG00000048920	Fkrp	GO:0005791	rough endoplasmic reticulum	rough_endoplasmic_reticulum
ENSMUSG00000027737	Slc7a11	GO:0005791	rough endoplasmic reticulum	rough_endoplasmic_reticulum
ENSMUSG00000026818	Cel	GO:0005791	rough endoplasmic reticulum	rough_endoplasmic_reticulum
ENSMUSG00000021492	F12	GO:0005791	rough endoplasmic reticulum	rough_endoplasmic_reticulum
ENSMUSG00000074489	Bglap3	GO:0005791	rough endoplasmic reticulum	rough_endoplasmic_reticulum
ENSMUSG00000074486	Bglap2	GO:0005791	rough endoplasmic reticulum	rough_endoplasmic_reticulum
ENSMUSG00000074483	Bglap	GO:0005791	rough endoplasmic reticulum	rough_endoplasmic_reticulum
ENSMUSG00000025980	Hspd1	GO:0005791	rough endoplasmic reticulum	rough_endoplasmic_reticulum
ENSMUSG00000038591	Colec10	GO:0005791	rough endoplasmic reticulum	rough_endoplasmic_reticulum
