ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024304	Cdh2	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000024600	Slc27a6	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000041731	Pgm5	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000061603	Akap6	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000024302	Dtna	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000060429	Sntb1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000027962	Vcam1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000019899	Lama2	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000031375	Bgn	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000045730	Adrb2	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000057531	Dtnbp1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000035296	Sgcg	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000032355	Mlip	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000021939	Ctsb	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000029862	Clcn1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000030247	Kcnj8	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000027712	Anxa5	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000005899	Smpd4	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000020882	Cacnb1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000031447	Lamp1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000017400	Stac2	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000015968	Cacna1d	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000052920	Prkg1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000061462	Obscn	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000024778	Fas	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000020672	Sntg2	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000037493	Cib2	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000044573	Acp1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000022607	Ptk2	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000053819	Camk2d	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000054477	Kcnn2	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000019848	Popdc3	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000071317	Bves	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000032826	Ank2	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000000301	Pemt	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000028976	Slc2a5	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000029156	Sgcb	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000069601	Ank3	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000048920	Fkrp	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000020911	Krt19	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000030554	Synm	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000022462	Slc38a2	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000040287	Stac3	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000031137	Fgf13	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000000058	Cav2	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000007655	Cav1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000031543	Ank1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000000183	Fgf6	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000033161	Atp1a1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000045103	Dmd	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000027488	Snta1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000039952	Dag1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000028161	Ppp3ca	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000024411	Aqp4	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000028854	Slc9a1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000026778	Prkcq	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000030401	Rtn2	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000024659	Anxa1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000021313	Ryr2	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000060882	Kcnd2	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000004655	Aqp1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000004654	Ghrhr	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000049382	Krt8	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000030805	Stx4a	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000079055	Slc8a3	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000022770	Dlg1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000020354	Sgcd	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000042828	Trim72	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000024471	Myot	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000019969	Psen1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000021823	Vcl	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000022840	Adcy5	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000019820	Utrn	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000057914	Cacnb2	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000031672	Got2	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000022565	Plec	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000033788	Dysf	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000040896	Kcnd3	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000030538	Cib1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000024960	Plcb3	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000048126	Col6a3	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000022803	Popdc2	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000002944	Cd36	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000039539	Sgcz	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000026576	Atp1b1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000062694	Cav3	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000041936	Agrn	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000069833	Ahnak	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000028645	Slc2a1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000041119	Pde9a	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000020241	Col6a2	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000001119	Col6a1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000021870	Slmap	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000025701	Alox5	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000028978	Nos3	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000040907	Atp1a3	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000032502	Stac	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000018340	Anxa6	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000040136	Abcc8	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000051331	Cacna1c	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000025809	Itgb1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000007097	Atp1a2	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000018566	Slc2a4	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000032231	Anxa2	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000032511	Scn5a	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000047126	Cltc	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000036570	Fxyd1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000029361	Nos1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000020722	Cacng1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000071202	Ccdc78	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000004631	Sgce	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000000320	Alox12	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000059714	Flot1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000000766	Oprm1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000020828	Pld2	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000068699	Flnc	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000032754	Slc8b1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000023175	Bsg	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000003458	Ncstn	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000007122	Casq1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000026407	Cacna1s	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000026463	Atp2b4	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000028348	Cavin4	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000026131	Dst	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000033953	Ppp3r1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000026208	Des	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000050556	Kcnb1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000001508	Sgca	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000057378	Ryr3	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000001333	Sync	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000096146	Kcnj11	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000030376	Slc8a2	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000009545	Kcnq1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000000805	Car4	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000030592	Ryr1	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000032679	Cd59a	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000068686	Cd59b	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000027523	Gnas	GO:0042383	sarcolemma	sarcolemma
ENSMUSG00000040495	Chrm4	GO:0042383	sarcolemma	sarcolemma
