ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021248	Tmed10	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000021629	Slc30a5	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000025094	Slc18a2	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000034152	Exoc3	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000031255	Sytl4	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000079657	Rab26	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000020847	Rph3al	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000000889	Dbh	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000056553	Ptprn2	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000030287	Itpr2	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000037852	Cpe	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000062542	Syt9	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000024511	Rab27b	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000036330	Slc18a1	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000022315	Slc30a8	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000031207	Msn	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000042644	Itpr3	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000024261	Syt4	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000001750	Tcirg1	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000037455	Slc18b1	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000020000	Moxd1	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000030102	Itpr1	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000052212	Cd177	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000026335	Pam	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000029084	Cd38	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000050732	Vamp8	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000032181	Scg3	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000062995	Ica1	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000032202	Rab27a	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000041794	Myrip	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000029885	Moxd2	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000037428	Vgf	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000036687	Tmem184a	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000084174	Sycn	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000020894	Vamp2	GO:0030667	secretory granule membrane	secretory_granule_membrane
ENSMUSG00000000805	Car4	GO:0030667	secretory granule membrane	secretory_granule_membrane
