ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021367	Edn1	GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	semaphorin-plexin_signaling_pathway_involved_in_axon_guidance
ENSMUSG00000031616	Ednra	GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	semaphorin-plexin_signaling_pathway_involved_in_axon_guidance
ENSMUSG00000031385	Plxnb3	GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	semaphorin-plexin_signaling_pathway_involved_in_axon_guidance
ENSMUSG00000030084	Plxna1	GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	semaphorin-plexin_signaling_pathway_involved_in_axon_guidance
ENSMUSG00000036606	Plxnb2	GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	semaphorin-plexin_signaling_pathway_involved_in_axon_guidance
ENSMUSG00000074785	Plxnc1	GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	semaphorin-plexin_signaling_pathway_involved_in_axon_guidance
ENSMUSG00000034684	Sema3f	GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	semaphorin-plexin_signaling_pathway_involved_in_axon_guidance
ENSMUSG00000031398	Plxna3	GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	semaphorin-plexin_signaling_pathway_involved_in_axon_guidance
ENSMUSG00000005583	Mef2c	GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	semaphorin-plexin_signaling_pathway_involved_in_axon_guidance
ENSMUSG00000053646	Plxnb1	GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	semaphorin-plexin_signaling_pathway_involved_in_axon_guidance
ENSMUSG00000025810	Nrp1	GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	semaphorin-plexin_signaling_pathway_involved_in_axon_guidance
ENSMUSG00000026640	Plxna2	GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	semaphorin-plexin_signaling_pathway_involved_in_axon_guidance
ENSMUSG00000030123	Plxnd1	GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	semaphorin-plexin_signaling_pathway_involved_in_axon_guidance
ENSMUSG00000029765	Plxna4	GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	semaphorin-plexin_signaling_pathway_involved_in_axon_guidance
ENSMUSG00000057530	Ece1	GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	semaphorin-plexin_signaling_pathway_involved_in_axon_guidance
