ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024992	Pde6c	GO:0050953	sensory perception of light stimulus	sensory_perception_of_light_stimulus
ENSMUSG00000039137	Whrn	GO:0050953	sensory perception of light stimulus	sensory_perception_of_light_stimulus
ENSMUSG00000069170	Adgrv1	GO:0050953	sensory perception of light stimulus	sensory_perception_of_light_stimulus
ENSMUSG00000026239	Pde6d	GO:0050953	sensory perception of light stimulus	sensory_perception_of_light_stimulus
ENSMUSG00000043850	Clrn1	GO:0050953	sensory perception of light stimulus	sensory_perception_of_light_stimulus
ENSMUSG00000026609	Ush2a	GO:0050953	sensory perception of light stimulus	sensory_perception_of_light_stimulus
ENSMUSG00000012819	Cdh23	GO:0050953	sensory perception of light stimulus	sensory_perception_of_light_stimulus
ENSMUSG00000052613	Pcdh15	GO:0050953	sensory perception of light stimulus	sensory_perception_of_light_stimulus
ENSMUSG00000000617	Grm6	GO:0050953	sensory perception of light stimulus	sensory_perception_of_light_stimulus
ENSMUSG00000030761	Myo7a	GO:0050953	sensory perception of light stimulus	sensory_perception_of_light_stimulus
ENSMUSG00000030324	Rho	GO:0050953	sensory perception of light stimulus	sensory_perception_of_light_stimulus
ENSMUSG00000030838	Ush1c	GO:0050953	sensory perception of light stimulus	sensory_perception_of_light_stimulus
ENSMUSG00000045288	Ush1g	GO:0050953	sensory perception of light stimulus	sensory_perception_of_light_stimulus
