ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000000753	Serpinf1	GO:0007614	short-term memory	short-term_memory
ENSMUSG00000041552	Ptchd1	GO:0007614	short-term memory	short-term_memory
ENSMUSG00000028351	Brinp1	GO:0007614	short-term memory	short-term_memory
ENSMUSG00000039601	Rcan2	GO:0007614	short-term memory	short-term_memory
ENSMUSG00000000326	Comt	GO:0007614	short-term memory	short-term_memory
ENSMUSG00000022951	Rcan1	GO:0007614	short-term memory	short-term_memory
ENSMUSG00000056755	Grm7	GO:0007614	short-term memory	short-term_memory
ENSMUSG00000045903	Npas4	GO:0007614	short-term memory	short-term_memory
ENSMUSG00000032375	Aph1b	GO:0007614	short-term memory	short-term_memory
ENSMUSG00000053040	Aph1c	GO:0007614	short-term memory	short-term_memory
ENSMUSG00000018566	Slc2a4	GO:0007614	short-term memory	short-term_memory
ENSMUSG00000053965	Pde5a	GO:0007614	short-term memory	short-term_memory
ENSMUSG00000028222	Calb1	GO:0007614	short-term memory	short-term_memory
ENSMUSG00000042589	Cux2	GO:0007614	short-term memory	short-term_memory
ENSMUSG00000026822	Lcn2	GO:0007614	short-term memory	short-term_memory
ENSMUSG00000025496	Drd4	GO:0007614	short-term memory	short-term_memory
ENSMUSG00000051149	Adnp	GO:0007614	short-term memory	short-term_memory
ENSMUSG00000027239	Mdk	GO:0007614	short-term memory	short-term_memory
